Time,Voltage,
0,-77.3372,
0.00002,-77.338,
0.00004,-77.3402,
0.00006,-77.3439,
0.00008,-77.3487,
0.0001,-77.3543,
0.00012,-77.3604,
0.00014,-77.3668,
0.00016,-77.3732,
0.00018,-77.3794,
0.0002,-77.3852,
0.00022,-77.3904,
0.00024,-77.3951,
0.00026,-77.3992,
0.00028,-77.4029,
0.0003,-77.406,
0.00032,-77.4087,
0.00034,-77.4108,
0.00036,-77.4123,
0.00038,-77.4131,
0.0004,-77.413,
0.00042,-77.4119,
0.00044,-77.4096,
0.00046,-77.406,
0.00048,-77.4011,
0.0005,-77.395,
0.00052,-77.3877,
0.00054,-77.3797,
0.00056,-77.3714,
0.00058,-77.3632,
0.0006,-77.3557,
0.00062,-77.3495,
0.00064,-77.345,
0.00066,-77.3425,
0.00068,-77.3424,
0.0007,-77.3444,
0.00072,-77.3486,
0.00074,-77.3545,
0.00076,-77.3616,
0.00078,-77.3693,
0.0008,-77.3769,
0.00082,-77.3839,
0.00084,-77.3898,
0.00086,-77.3942,
0.00088,-77.397,
0.0009,-77.3981,
0.00092,-77.3978,
0.00094,-77.3963,
0.00096,-77.3941,
0.00098,-77.3916,
0.001,-77.3892,
0.00102,-77.387,
0.00104,-77.3853,
0.00106,-77.3841,
0.00108,-77.3832,
0.0011,-77.3824,
0.00112,-77.3815,
0.00114,-77.3802,
0.00116,-77.3784,
0.00118,-77.3761,
0.0012,-77.3732,
0.00122,-77.3702,
0.00124,-77.3674,
0.00126,-77.3652,
0.00128,-77.3642,
0.0013,-77.3647,
0.00132,-77.367,
0.00134,-77.3714,
0.00136,-77.3776,
0.00138,-77.3853,
0.0014,-77.394,
0.00142,-77.4032,
0.00144,-77.412,
0.00146,-77.42,
0.00148,-77.4264,
0.0015,-77.4309,
0.00152,-77.4334,
0.00154,-77.4339,
0.00156,-77.4327,
0.00158,-77.4304,
0.0016,-77.4275,
0.00162,-77.4247,
0.00164,-77.4225,
0.00166,-77.4214,
0.00168,-77.4218,
0.0017,-77.4236,
0.00172,-77.4267,
0.00174,-77.4307,
0.00176,-77.435,
0.00178,-77.4391,
0.0018,-77.4425,
0.00182,-77.4445,
0.00184,-77.4451,
0.00186,-77.444,
0.00188,-77.4414,
0.0019,-77.4378,
0.00192,-77.4337,
0.00194,-77.4297,
0.00196,-77.4266,
0.00198,-77.4251,
0.002,-77.4257,
0.00202,-77.4287,
0.00204,-77.4343,
0.00206,-77.4422,
0.00208,-77.452,
0.0021,-77.4631,
0.00212,-77.4747,
0.00214,-77.4862,
0.00216,-77.4967,
0.00218,-77.5056,
0.0022,-77.5126,
0.00222,-77.5175,
0.00224,-77.5202,
0.00226,-77.5211,
0.00228,-77.5206,
0.0023,-77.5192,
0.00232,-77.5175,
0.00234,-77.5161,
0.00236,-77.5154,
0.00238,-77.5157,
0.0024,-77.5171,
0.00242,-77.5197,
0.00244,-77.5232,
0.00246,-77.5273,
0.00248,-77.5317,
0.0025,-77.536,
0.00252,-77.5399,
0.00254,-77.5432,
0.00256,-77.5459,
0.00258,-77.5479,
0.0026,-77.5495,
0.00262,-77.551,
0.00264,-77.5526,
0.00266,-77.5547,
0.00268,-77.5575,
0.0027,-77.5612,
0.00272,-77.5658,
0.00274,-77.5711,
0.00276,-77.5771,
0.00278,-77.5835,
0.0028,-77.5899,
0.00282,-77.5961,
0.00284,-77.6019,
0.00286,-77.6071,
0.00288,-77.6116,
0.0029,-77.6155,
0.00292,-77.6189,
0.00294,-77.622,
0.00296,-77.6248,
0.00298,-77.6275,
0.003,-77.6301,
0.00302,-77.6326,
0.00304,-77.6347,
0.00306,-77.6361,
0.00308,-77.6366,
0.0031,-77.6359,
0.00312,-77.6338,
0.00314,-77.63,
0.00316,-77.6246,
0.00318,-77.618,
0.0032,-77.6103,
0.00322,-77.6022,
0.00324,-77.5942,
0.00326,-77.5872,
0.00328,-77.5815,
0.0033,-77.5779,
0.00332,-77.5766,
0.00334,-77.5777,
0.00336,-77.5813,
0.00338,-77.587,
0.0034,-77.5945,
0.00342,-77.6031,
0.00344,-77.6124,
0.00346,-77.6217,
0.00348,-77.6307,
0.0035,-77.6388,
0.00352,-77.6459,
0.00354,-77.652,
0.00356,-77.657,
0.00358,-77.6611,
0.0036,-77.6646,
0.00362,-77.6675,
0.00364,-77.6703,
0.00366,-77.6729,
0.00368,-77.6756,
0.0037,-77.6785,
0.00372,-77.6815,
0.00374,-77.6846,
0.00376,-77.6879,
0.00378,-77.6911,
0.0038,-77.6943,
0.00382,-77.6974,
0.00384,-77.7002,
0.00386,-77.7027,
0.00388,-77.7049,
0.0039,-77.7065,
0.00392,-77.7074,
0.00394,-77.7075,
0.00396,-77.7067,
0.00398,-77.705,
0.004,-77.7022,
0.00402,-77.6985,
0.00404,-77.694,
0.00406,-77.6889,
0.00408,-77.6836,
0.0041,-77.6785,
0.00412,-77.674,
0.00414,-77.6706,
0.00416,-77.6685,
0.00418,-77.6681,
0.0042,-77.6695,
0.00422,-77.6725,
0.00424,-77.6771,
0.00426,-77.6825,
0.00428,-77.6886,
0.0043,-77.6945,
0.00432,-77.6996,
0.00434,-77.7035,
0.00436,-77.7056,
0.00438,-77.7058,
0.0044,-77.7039,
0.00442,-77.7002,
0.00444,-77.695,
0.00446,-77.6888,
0.00448,-77.6822,
0.0045,-77.6758,
0.00452,-77.6704,
0.00454,-77.6663,
0.00456,-77.664,
0.00458,-77.6638,
0.0046,-77.6657,
0.00462,-77.6698,
0.00464,-77.6757,
0.00466,-77.6832,
0.00468,-77.6919,
0.0047,-77.7013,
0.00472,-77.7111,
0.00474,-77.7208,
0.00476,-77.7299,
0.00478,-77.7381,
0.0048,-77.745,
0.00482,-77.7503,
0.00484,-77.7537,
0.00486,-77.7551,
0.00488,-77.7543,
0.0049,-77.7514,
0.00492,-77.7466,
0.00494,-77.7401,
0.00496,-77.7325,
0.00498,-77.7244,
0.005,-77.7165,
0.00502,-77.7097,
0.00504,-77.7047,
0.00506,-77.7023,
0.00508,-77.7031,
0.0051,-77.7076,
0.00512,-77.7158,
0.00514,-77.7276,
0.00516,-77.7426,
0.00518,-77.7599,
0.0052,-77.7787,
0.00522,-77.7979,
0.00524,-77.8165,
0.00526,-77.8333,
0.00528,-77.8478,
