Time (ms),Voltage (mV)
0.0,-78.24411705889523
0.02,-78.24411705889523
0.04,-77.99383599673162
0.06000000000000001,-77.77484006733847
0.08,-77.99383599673162
0.1,-77.99383599673162
0.12000000000000002,-78.11897652781343
0.14,-78.02512112950208
0.16,-78.02512112950208
0.18000000000000002,-78.11897652781343
0.2,-78.15026166058388
0.22,-78.08769139504297
0.24000000000000005,-77.93126573119073
0.26,-78.08769139504297
0.28,-78.08769139504297
0.30000000000000004,-78.02512112950208
0.32,-77.96255086396117
0.34,-78.02512112950208
0.36000000000000004,-78.08769139504297
0.38,-78.15026166058388
0.4,-78.33797245720658
0.42000000000000004,-78.11897652781343
0.44,-77.99383599673162
0.46,-78.02512112950208
0.4800000000000001,-78.05640626227253
0.5,-78.18154679335433
0.52,-78.18154679335433
0.54,-78.08769139504297
0.56,-78.08769139504297
0.58,-78.05640626227253
0.6000000000000001,-78.21283192612476
0.62,-78.27540219166568
0.64,-78.15026166058388
0.6600000000000001,-78.02512112950208
0.68,-78.08769139504297
0.7000000000000001,-78.21283192612476
0.7200000000000001,-78.11897652781343
0.7400000000000001,-78.08769139504297
0.76,-78.02512112950208
0.7800000000000001,-78.11897652781343
0.8,-78.08769139504297
0.8200000000000001,-78.18154679335433
0.8400000000000001,-78.15026166058388
0.8600000000000001,-78.02512112950208
0.88,-78.08769139504297
0.9000000000000001,-78.15026166058388
0.92,-78.05640626227253
0.9400000000000001,-78.05640626227253
0.9600000000000002,-78.21283192612476
0.9800000000000002,-78.11897652781343
1.0,-77.86869546564982
1.02,-77.93126573119073
1.04,-78.11897652781343
1.0600000000000003,-78.08769139504297
1.08,-77.93126573119073
1.1,-77.96255086396117
1.12,-78.18154679335433
1.1400000000000001,-78.27540219166568
1.16,-78.24411705889523
1.1800000000000002,-78.05640626227253
1.2000000000000002,-77.96255086396117
1.2200000000000002,-78.05640626227253
1.24,-78.05640626227253
1.26,-77.89998059842029
1.28,-77.93126573119073
1.3000000000000003,-77.93126573119073
1.3200000000000003,-78.18154679335433
1.34,-78.15026166058388
1.36,-78.21283192612476
1.3800000000000001,-78.02512112950208
1.4000000000000001,-77.96255086396117
1.42,-77.86869546564982
1.4400000000000002,-78.02512112950208
1.4600000000000002,-78.11897652781343
1.4800000000000002,-78.21283192612476
1.5,-78.05640626227253
1.52,-77.93126573119073
1.54,-77.99383599673162
1.5600000000000003,-78.11897652781343
1.58,-78.18154679335433
1.6,-78.05640626227253
1.62,-77.96255086396117
1.6400000000000001,-78.05640626227253
1.6600000000000001,-78.11897652781343
1.6800000000000002,-78.05640626227253
1.7000000000000002,-77.99383599673162
1.7200000000000002,-77.96255086396117
1.7400000000000002,-78.05640626227253
1.76,-78.08769139504297
1.78,-78.18154679335433
1.8000000000000003,-78.18154679335433
1.8200000000000003,-77.99383599673162
1.84,-77.93126573119073
1.86,-77.99383599673162
1.8800000000000001,-77.99383599673162
1.9000000000000001,-77.99383599673162
1.9200000000000004,-78.05640626227253
1.9400000000000002,-78.15026166058388
1.9600000000000004,-78.05640626227253
1.98,-77.96255086396117
2.0,-78.11897652781343
2.02,-78.05640626227253
2.04,-77.99383599673162
2.06,-77.93126573119073
2.08,-78.05640626227253
2.1,-78.21283192612476
2.1200000000000006,-78.02512112950208
2.14,-77.83741033287937
2.16,-78.02512112950208
2.18,-78.30668732443613
2.2,-78.30668732443613
2.22,-77.93126573119073
2.24,-77.99383599673162
2.2600000000000002,-78.08769139504297
2.2800000000000002,-78.08769139504297
2.3000000000000003,-78.15026166058388
2.32,-78.18154679335433
2.34,-78.05640626227253
2.3600000000000003,-78.02512112950208
2.3800000000000003,-78.08769139504297
2.4000000000000004,-78.05640626227253
2.4200000000000004,-77.99383599673162
2.4400000000000004,-77.99383599673162
2.4600000000000004,-78.15026166058388
2.48,-77.96255086396117
2.5,-77.86869546564982
2.52,-77.99383599673162
2.54,-78.15026166058388
2.56,-78.05640626227253
2.58,-77.96255086396117
2.6000000000000005,-78.02512112950208
2.6200000000000006,-78.05640626227253
2.6400000000000006,-78.11897652781343
2.66,-78.05640626227253
2.68,-77.99383599673162
2.7,-77.93126573119073
2.72,-77.96255086396117
2.74,-78.15026166058388
2.7600000000000002,-78.08769139504297
2.7800000000000002,-77.86869546564982
2.8000000000000003,-77.86869546564982
2.82,-77.99383599673162
2.84,-78.02512112950208
2.8600000000000003,-78.05640626227253
2.8800000000000003,-77.83741033287937
2.9000000000000004,-77.86869546564982
2.9200000000000004,-78.11897652781343
2.9400000000000004,-78.21283192612476
2.9600000000000004,-77.96255086396117
2.9800000000000004,-77.89998059842029
3.0,-78.02512112950208
3.02,-78.11897652781343
3.04,-78.11897652781343
3.06,-77.96255086396117
3.08,-78.08769139504297
3.1000000000000005,-78.18154679335433
3.1200000000000006,-78.18154679335433
3.1400000000000006,-78.02512112950208
3.16,-77.83741033287937
3.18,-77.93126573119073
3.2,-78.02512112950208
3.22,-78.11897652781343
3.24,-78.05640626227253
3.2600000000000002,-78.15026166058388
3.2800000000000002,-78.08769139504297
3.3000000000000003,-78.05640626227253
3.3200000000000003,-78.02512112950208
3.3400000000000003,-77.93126573119073
3.3600000000000003,-78.11897652781343
3.3800000000000003,-78.11897652781343
3.4000000000000004,-78.05640626227253
3.4200000000000004,-77.89998059842029
3.4400000000000004,-77.93126573119073
3.4600000000000004,-77.99383599673162
3.4800000000000004,-78.05640626227253
3.5,-78.02512112950208
3.52,-78.08769139504297
3.54,-78.05640626227253
3.56,-78.05640626227253
3.58,-78.05640626227253
3.6000000000000005,-77.96255086396117
3.6200000000000006,-77.93126573119073
3.6400000000000006,-77.93126573119073
3.6600000000000006,-78.11897652781343
3.68,-78.21283192612476
