Time (ms),Signal (mV)
0.0,-70.2038379368896
0.02,-70.23512306966005
0.04,-70.26640820243051
0.06000000000000001,-70.36026360074185
0.08,-70.39154873351231
0.1,-70.17255280411915
0.12000000000000002,-70.0161271402669
0.14,-70.2038379368896
0.16,-70.3289784679714
0.18000000000000002,-70.42283386628274
0.2,-70.39154873351231
0.22,-70.26640820243051
0.24000000000000005,-70.17255280411915
0.26,-70.2038379368896
0.28,-70.42283386628274
0.30000000000000004,-70.23512306966005
0.32,-70.26640820243051
0.34,-70.4541189990532
0.36000000000000004,-70.36026360074185
0.38,-70.26640820243051
0.4,-70.23512306966005
0.42000000000000004,-70.3289784679714
0.44,-70.42283386628274
0.46,-70.36026360074185
0.4800000000000001,-70.17255280411915
0.5,-70.2038379368896
0.52,-70.42283386628274
0.54,-70.39154873351231
0.56,-70.36026360074185
0.58,-70.3289784679714
0.6000000000000001,-70.39154873351231
0.62,-70.5166892645941
0.64,-70.48540413182366
0.6600000000000001,-70.23512306966005
0.68,-70.26640820243051
0.7000000000000001,-70.29769333520095
0.7200000000000001,-70.4541189990532
0.7400000000000001,-70.29769333520095
0.76,-70.23512306966005
0.7800000000000001,-70.10998253857825
0.8,-70.2038379368896
0.8200000000000001,-70.42283386628274
0.8400000000000001,-70.42283386628274
0.8600000000000001,-70.36026360074185
0.88,-70.10998253857825
0.9000000000000001,-70.2038379368896
0.92,-70.23512306966005
0.9400000000000001,-70.39154873351231
0.9600000000000002,-70.36026360074185
0.9800000000000002,-70.3289784679714
1.0,-70.29769333520095
1.02,-70.23512306966005
1.04,-70.26640820243051
1.0600000000000003,-70.48540413182366
1.08,-70.39154873351231
1.1,-70.23512306966005
1.12,-70.1412676713487
1.1400000000000001,-70.26640820243051
1.16,-70.26640820243051
1.1800000000000002,-70.29769333520095
1.2000000000000002,-70.39154873351231
1.2200000000000002,-70.42283386628274
1.24,-70.2038379368896
1.26,-70.1412676713487
1.28,-70.2038379368896
1.3000000000000003,-70.36026360074185
1.3200000000000003,-70.3289784679714
1.34,-70.1412676713487
1.36,-70.17255280411915
1.3800000000000001,-70.39154873351231
1.4000000000000001,-70.48540413182366
1.42,-70.42283386628274
1.4400000000000002,-70.39154873351231
1.4600000000000002,-70.39154873351231
1.4800000000000002,-70.42283386628274
1.5,-70.4541189990532
1.52,-70.39154873351231
1.54,-70.39154873351231
1.5600000000000003,-70.26640820243051
1.58,-70.3289784679714
1.6,-70.1412676713487
1.62,-70.17255280411915
1.6400000000000001,-70.23512306966005
1.6600000000000001,-70.42283386628274
1.6800000000000002,-70.29769333520095
1.7000000000000002,-70.3289784679714
1.7200000000000002,-70.26640820243051
1.7400000000000002,-70.36026360074185
1.76,-70.3289784679714
1.78,-70.23512306966005
1.8000000000000003,-70.23512306966005
1.8200000000000003,-70.2038379368896
1.84,-70.39154873351231
1.86,-70.3289784679714
1.8800000000000001,-70.04741227303735
1.9000000000000001,-70.04741227303735
1.9200000000000004,-70.26640820243051
1.9400000000000002,-70.5166892645941
1.9600000000000004,-70.42283386628274
1.98,-70.1412676713487
2.0,-70.0161271402669
2.02,-70.23512306966005
2.04,-70.36026360074185
2.06,-70.39154873351231
2.08,-70.36026360074185
2.1,-70.23512306966005
2.1200000000000006,-70.3289784679714
2.14,-70.36026360074185
2.16,-70.2038379368896
2.18,-70.17255280411915
2.2,-70.36026360074185
2.22,-70.29769333520095
2.24,-70.29769333520095
2.2600000000000002,-70.17255280411915
2.2800000000000002,-70.2038379368896
2.3000000000000003,-70.26640820243051
2.32,-70.4541189990532
2.34,-70.3289784679714
2.3600000000000003,-70.17255280411915
2.3800000000000003,-70.26640820243051
2.4000000000000004,-70.5166892645941
2.4200000000000004,-70.39154873351231
2.4400000000000004,-70.0786974058078
2.4600000000000004,-70.26640820243051
2.48,-70.4541189990532
2.5,-70.29769333520095
2.52,-70.23512306966005
2.54,-70.1412676713487
2.56,-70.39154873351231
2.58,-70.3289784679714
2.6000000000000005,-70.26640820243051
2.6200000000000006,-70.3289784679714
2.6400000000000006,-70.4541189990532
2.66,-70.2038379368896
2.68,-70.1412676713487
2.7,-70.3289784679714
2.72,-70.4541189990532
2.74,-70.3289784679714
2.7600000000000002,-70.29769333520095
2.7800000000000002,-70.29769333520095
2.8000000000000003,-70.36026360074185
2.82,-70.36026360074185
2.84,-70.3289784679714
2.8600000000000003,-70.17255280411915
2.8800000000000003,-70.26640820243051
2.9000000000000004,-70.36026360074185
2.9200000000000004,-70.23512306966005
2.9400000000000004,-70.23512306966005
2.9600000000000004,-70.3289784679714
2.9800000000000004,-70.3289784679714
3.0,-70.23512306966005
3.02,-70.29769333520095
3.04,-70.26640820243051
3.06,-70.3289784679714
3.08,-70.23512306966005
3.1000000000000005,-70.3289784679714
3.1200000000000006,-70.42283386628274
3.1400000000000006,-70.23512306966005
3.16,-70.36026360074185
3.18,-70.23512306966005
3.2,-70.26640820243051
3.22,-70.39154873351231
3.24,-70.3289784679714
3.2600000000000002,-70.23512306966005
3.2800000000000002,-70.29769333520095
3.3000000000000003,-70.39154873351231
3.3200000000000003,-70.36026360074185
3.3400000000000003,-70.3289784679714
3.3600000000000003,-70.39154873351231
3.3800000000000003,-70.36026360074185
3.4000000000000004,-70.39154873351231
3.4200000000000004,-70.39154873351231
3.4400000000000004,-70.26640820243051
3.4600000000000004,-70.23512306966005
3.4800000000000004,-70.3289784679714
3.5,-70.36026360074185
3.52,-70.3289784679714
3.54,-70.23512306966005
3.56,-70.10998253857825
3.58,-70.3289784679714
3.6000000000000005,-70.5166892645941
3.6200000000000006,-70.48540413182366
3.6400000000000006,-70.29769333520095
3.6600000000000006,-70.17255280411915
3.68,-70.26640820243051
3.7,-70.29769333520095
3.72,-70.3289784679714
3.74,-70.2038379368896
3.7600000000000002,-70.23512306966005
3.7800000000000002,-70.36026360074185
3.8000000000000003,-70.39154873351231
3.8200000000000003,-70.36026360074185
3.8400000000000007,-70.26640820243051
3.8600000000000003,-70.3289784679714
3.8800000000000003,-70.26640820243051
3.9000000000000004,-70.3289784679714
3.920000000000001,-70.36026360074185
3.94,-70.36026360074185
3.96,-70.36026360074185
3.98,-70.39154873351231
4.0,-70.39154873351231
4.0200000000000005,-70.36026360074185
4.04,-70.29769333520095
4.0600000000000005,-70.36026360074185
4.08,-70.36026360074185
4.1000000000000005,-70.3289784679714
4.12,-70.39154873351231
4.140000000000001,-70.42283386628274
4.16,-70.3289784679714
4.180000000000001,-70.23512306966005
4.2,-70.23512306966005
4.220000000000001,-70.29769333520095
4.240000000000001,-70.36026360074185
4.260000000000001,-70.42283386628274
4.28,-70.36026360074185
4.3,-70.26640820243051
4.32,-70.3289784679714
4.34,-70.26640820243051
4.36,-70.36026360074185
4.38,-70.23512306966005
4.4,-70.3289784679714
4.42,-70.42283386628274
4.44,-70.36026360074185
4.460000000000001,-70.3289784679714
4.48,-70.3289784679714
4.500000000000001,-70.2038379368896
4.5200000000000005,-70.39154873351231
4.540000000000001,-70.48540413182366
4.5600000000000005,-70.42283386628274
4.580000000000001,-70.3289784679714
4.6000000000000005,-70.23512306966005
4.62,-70.29769333520095
4.64,-70.36026360074185
4.66,-70.36026360074185
4.68,-69.98484200749645
4.7,-70.10998253857825
4.720000000000001,-70.23512306966005
4.74,-70.42283386628274
4.760000000000001,-70.23512306966005
4.78,-70.04741227303735
4.800000000000001,-70.04741227303735
4.82,-70.23512306966005
4.840000000000001,-70.26640820243051
4.86,-70.2038379368896
4.880000000000001,-70.0786974058078
4.9,-70.17255280411915
4.920000000000001,-70.23512306966005
4.94,-70.2038379368896
4.96,-70.3289784679714
4.98,-70.23512306966005
5.0,-70.17255280411915
5.0200000000000005,-70.23512306966005
5.04,-70.3289784679714
5.0600000000000005,-70.29769333520095
5.08,-70.36026360074185
5.1000000000000005,-70.23512306966005
5.12,-70.0161271402669
5.140000000000001,-70.1412676713487
5.16,-70.39154873351231
5.180000000000001,-70.3289784679714
5.200000000000001,-70.1412676713487
5.220000000000001,-70.1412676713487
5.240000000000001,-70.26640820243051
5.260000000000001,-70.1412676713487
5.280000000000001,-70.17255280411915
5.3,-70.29769333520095
5.32,-70.36026360074185
5.34,-70.4541189990532
5.36,-70.3289784679714
5.38,-70.10998253857825
5.4,-70.17255280411915
5.42,-70.26640820243051
5.44,-70.3289784679714
5.460000000000001,-70.2038379368896
5.48,-70.23512306966005
5.500000000000001,-70.1412676713487
5.5200000000000005,-70.23512306966005
5.540000000000001,-70.17255280411915
5.5600000000000005,-70.23512306966005
5.580000000000001,-70.29769333520095
5.6000000000000005,-70.29769333520095
5.620000000000001,-70.10998253857825
5.64,-70.1412676713487
5.66,-70.10998253857825
5.68,-70.1412676713487
5.7,-70.23512306966005
5.720000000000001,-70.2038379368896
5.74,-70.1412676713487
5.760000000000001,-70.10998253857825
5.78,-70.10998253857825
5.800000000000001,-70.2038379368896
5.82,-70.1412676713487
5.840000000000001,-70.0786974058078
5.86,-70.10998253857825
5.880000000000001,-70.1412676713487
5.9,-70.2038379368896
5.920000000000001,-70.2038379368896
5.940000000000001,-70.2038379368896
5.960000000000001,-70.2038379368896
5.98,-70.2038379368896
6.0,-70.23512306966005
6.0200000000000005,-70.1412676713487
6.04,-70.0786974058078
6.0600000000000005,-70.26640820243051
6.08,-70.39154873351231
6.1000000000000005,-70.0786974058078
6.12,-70.04741227303735
6.140000000000001,-70.04741227303735
6.16,-70.29769333520095
6.180000000000001,-70.2038379368896
6.200000000000001,-69.98484200749645
6.220000000000001,-69.98484200749645
6.240000000000001,-70.2038379368896
6.260000000000001,-70.23512306966005
6.280000000000001,-70.0786974058078
6.300000000000001,-70.10998253857825
6.32,-70.10998253857825
6.34,-70.10998253857825
6.36,-70.17255280411915
6.38,-70.1412676713487
6.4,-69.92227174195554
6.42,-69.953556874726
6.44,-70.0161271402669
6.460000000000001,-70.0786974058078
6.48,-70.0161271402669
6.500000000000001,-70.0786974058078
6.5200000000000005,-70.10998253857825
6.540000000000001,-70.2038379368896
6.5600000000000005,-70.04741227303735
6.580000000000001,-70.0161271402669
6.6000000000000005,-70.0786974058078
6.620000000000001,-70.10998253857825
6.640000000000001,-70.17255280411915
6.66,-70.04741227303735
6.680000000000001,-69.953556874726
6.7,-70.10998253857825
6.720000000000001,-70.2038379368896
6.74,-70.2038379368896
6.760000000000001,-70.0161271402669
6.78,-70.0161271402669
6.800000000000001,-70.17255280411915
6.82,-70.17255280411915
6.840000000000001,-70.10998253857825
6.86,-70.0161271402669
6.880000000000001,-69.98484200749645
6.9,-69.98484200749645
6.920000000000001,-70.10998253857825
6.940000000000001,-70.2038379368896
6.960000000000001,-70.29769333520095
6.980000000000001,-70.10998253857825
7.0,-70.0161271402669
7.0200000000000005,-70.04741227303735
7.04,-70.10998253857825
7.0600000000000005,-70.0161271402669
7.08,-70.10998253857825
7.1000000000000005,-70.17255280411915
7.12,-70.1412676713487
7.140000000000001,-70.0786974058078
7.16,-70.0161271402669
7.180000000000001,-70.0161271402669
7.200000000000001,-70.1412676713487
7.220000000000001,-70.0786974058078
7.240000000000001,-70.26640820243051
7.260000000000001,-70.17255280411915
7.280000000000001,-69.98484200749645
7.300000000000001,-70.0786974058078
7.320000000000001,-70.10998253857825
7.34,-69.98484200749645
7.36,-70.10998253857825
7.38,-70.23512306966005
7.4,-70.26640820243051
7.420000000000001,-70.2038379368896
7.44,-70.10998253857825
7.460000000000001,-70.0161271402669
7.48,-70.0786974058078
7.500000000000001,-70.17255280411915
7.5200000000000005,-70.26640820243051
7.540000000000001,-70.1412676713487
7.5600000000000005,-70.04741227303735
7.580000000000001,-69.953556874726
7.6000000000000005,-70.1412676713487
7.620000000000001,-70.10998253857825
7.640000000000001,-70.04741227303735
7.660000000000001,-70.17255280411915
7.6800000000000015,-70.17255280411915
7.7,-70.04741227303735
7.720000000000001,-69.953556874726
7.74,-70.10998253857825
7.760000000000001,-70.17255280411915
7.78,-70.1412676713487
7.800000000000001,-70.0161271402669
7.82,-70.1412676713487
7.840000000000002,-70.17255280411915
7.86,-70.29769333520095
7.88,-70.2038379368896
7.9,-70.0161271402669
7.92,-70.10998253857825
7.940000000000001,-70.1412676713487
7.96,-70.0786974058078
7.980000000000001,-70.17255280411915
8.0,-70.10998253857825
8.020000000000001,-70.26640820243051
8.040000000000001,-70.26640820243051
8.06,-70.1412676713487
8.08,-70.0786974058078
8.100000000000001,-70.17255280411915
8.120000000000001,-70.2038379368896
8.14,-70.2038379368896
8.16,-70.1412676713487
8.180000000000001,-70.17255280411915
8.200000000000001,-70.10998253857825
8.22,-70.10998253857825
8.24,-70.23512306966005
8.26,-70.2038379368896
8.280000000000001,-70.10998253857825
8.3,-70.1412676713487
8.32,-70.0786974058078
8.34,-70.1412676713487
8.360000000000001,-70.2038379368896
8.38,-70.2038379368896
8.4,-70.1412676713487
8.42,-70.17255280411915
8.440000000000001,-70.2038379368896
8.46,-70.3289784679714
8.480000000000002,-70.26640820243051
8.5,-70.3289784679714
8.520000000000001,-70.17255280411915
8.540000000000001,-70.17255280411915
8.56,-70.17255280411915
8.58,-70.2038379368896
8.6,-70.23512306966005
8.620000000000001,-70.26640820243051
8.64,-70.23512306966005
8.66,-70.2038379368896
8.68,-70.17255280411915
8.700000000000001,-70.0786974058078
8.72,-70.23512306966005
8.740000000000002,-70.3289784679714
8.76,-70.17255280411915
8.780000000000001,-70.0161271402669
8.8,-70.17255280411915
8.820000000000002,-70.26640820243051
8.84,-70.26640820243051
8.860000000000001,-70.29769333520095
8.88,-70.17255280411915
8.9,-69.98484200749645
8.920000000000002,-70.10998253857825
8.94,-70.2038379368896
8.96,-70.36026360074185
8.98,-70.1412676713487
9.000000000000002,-69.953556874726
9.02,-70.0786974058078
9.040000000000001,-70.29769333520095
9.06,-70.39154873351231
9.080000000000002,-70.10998253857825
9.1,-70.0161271402669
9.120000000000001,-70.0161271402669
9.14,-70.3289784679714
9.160000000000002,-70.3289784679714
9.180000000000001,-70.0161271402669
9.200000000000001,-69.92227174195554
9.22,-70.1412676713487
