Time (ms),Signal (mV)
0.0,-75.86644696834104
0.02,-75.92901723388194
0.04,-75.92901723388194
0.06000000000000001,-75.83516183557059
0.08,-75.86644696834104
0.1,-76.02287263219328
0.12000000000000002,-76.11672803050463
0.14,-75.89773210111149
0.16,-75.89773210111149
0.18000000000000002,-75.99158749942283
0.2,-75.99158749942283
0.22,-75.96030236665239
0.24000000000000005,-75.92901723388194
0.26,-75.96030236665239
0.28,-76.02287263219328
0.30000000000000004,-75.99158749942283
0.32,-75.89773210111149
0.34,-75.92901723388194
0.36000000000000004,-76.02287263219328
0.38,-75.89773210111149
0.4,-75.77259157002969
0.42000000000000004,-75.83516183557059
0.44,-76.08544289773418
0.46,-75.92901723388194
0.4800000000000001,-75.92901723388194
0.5,-75.96030236665239
0.52,-76.05415776496373
0.54,-75.89773210111149
0.56,-75.92901723388194
0.58,-75.99158749942283
0.6000000000000001,-75.83516183557059
0.62,-75.89773210111149
0.64,-75.89773210111149
0.6600000000000001,-75.77259157002969
0.68,-75.96030236665239
0.7000000000000001,-76.02287263219328
0.7200000000000001,-75.89773210111149
0.7400000000000001,-76.02287263219328
0.76,-75.92901723388194
0.7800000000000001,-75.89773210111149
0.8,-75.92901723388194
0.8200000000000001,-75.92901723388194
0.8400000000000001,-75.89773210111149
0.8600000000000001,-75.89773210111149
0.88,-76.02287263219328
0.9000000000000001,-75.99158749942283
0.92,-75.89773210111149
0.9400000000000001,-75.96030236665239
0.9600000000000002,-76.02287263219328
0.9800000000000002,-75.89773210111149
1.0,-75.92901723388194
1.02,-75.89773210111149
1.04,-75.92901723388194
1.0600000000000003,-75.99158749942283
1.08,-76.11672803050463
1.1,-76.08544289773418
1.12,-75.83516183557059
1.1400000000000001,-75.86644696834104
1.16,-75.86644696834104
1.1800000000000002,-75.96030236665239
1.2000000000000002,-76.05415776496373
1.2200000000000002,-76.08544289773418
1.24,-75.89773210111149
1.26,-75.77259157002969
1.28,-75.83516183557059
1.3000000000000003,-75.83516183557059
1.3200000000000003,-76.17929829604553
1.34,-76.05415776496373
1.36,-75.92901723388194
1.3800000000000001,-75.86644696834104
1.4000000000000001,-75.83516183557059
1.42,-75.92901723388194
1.4400000000000002,-75.89773210111149
1.4600000000000002,-75.92901723388194
1.4800000000000002,-76.05415776496373
1.5,-75.92901723388194
1.52,-76.05415776496373
1.54,-75.86644696834104
1.5600000000000003,-75.83516183557059
1.58,-75.96030236665239
1.6,-75.99158749942283
1.62,-75.89773210111149
1.6400000000000001,-75.77259157002969
1.6600000000000001,-75.86644696834104
1.6800000000000002,-75.92901723388194
1.7000000000000002,-75.96030236665239
1.7200000000000002,-75.86644696834104
1.7400000000000002,-75.74130643725924
1.76,-75.74130643725924
1.78,-75.74130643725924
1.8000000000000003,-75.86644696834104
