Time (ms),Voltage (mV)
0.0,1.0084279114198804e-08
0.02,1.9361319136743764e-08
0.04,8.072390916538453e-10
0.06000000000000001,6.991932440017154e-09
0.08,1.9361319136743764e-08
0.1,1.6268972462562114e-08
0.12000000000000002,-2.285107582527812e-09
0.14,3.8995857658354965e-09
0.16,-8.46980093089112e-09
0.18000000000000002,-1.4654494279254425e-08
0.2,-2.285107582527812e-09
0.22,-1.774684095343608e-08
0.24000000000000005,-1.1562147605072771e-08
0.26,8.072390916538453e-10
0.28,-2.285107582527812e-09
0.30000000000000004,-8.46980093089112e-09
0.32,-1.774684095343608e-08
0.34,8.072390916538453e-10
0.36000000000000004,-8.46980093089112e-09
0.38,-2.285107582527812e-09
0.4,-8.46980093089112e-09
0.42000000000000004,6.991932440017154e-09
0.44,1.0084279114198804e-08
0.46,-2.285107582527812e-09
0.4800000000000001,-8.46980093089112e-09
0.5,-1.774684095343608e-08
0.52,-5.377454256709463e-09
0.54,-1.4654494279254425e-08
0.56,1.3176625788380456e-08
0.58,8.072390916538453e-10
0.6000000000000001,6.991932440017154e-09
0.62,3.173070583347038e-08
0.64,2.2453665810925415e-08
0.6600000000000001,3.8995857658354965e-09
0.68,2.8638359159288728e-08
0.7000000000000001,-2.285107582527812e-09
0.7200000000000001,-5.377454256709463e-09
0.7400000000000001,-1.1562147605072771e-08
0.76,3.8995857658354965e-09
0.7800000000000001,-2.285107582527812e-09
0.8,-1.4654494279254425e-08
0.8200000000000001,-8.46980093089112e-09
0.8400000000000001,3.8995857658354965e-09
0.8600000000000001,8.072390916538453e-10
0.88,1.0084279114198804e-08
0.9000000000000001,2.2453665810925415e-08
0.92,5.02847858785603e-08
0.9400000000000001,5.337713255274196e-08
0.9600000000000002,5.646947922692361e-08
0.9800000000000002,3.7915399181833685e-08
1.0,1.3176625788380456e-08
1.02,8.072390916538453e-10
1.04,-2.702388097598104e-08
1.0600000000000003,-3.320857432434435e-08
1.08,-3.9393267672707654e-08
1.1,-3.01162276501627e-08
1.12,-1.4654494279254425e-08
1.1400000000000001,1.0084279114198804e-08
1.16,3.8995857658354965e-09
1.1800000000000002,1.0084279114198804e-08
1.2000000000000002,3.8995857658354965e-09
1.2200000000000002,1.0084279114198804e-08
1.24,6.991932440017154e-09
1.26,3.8995857658354965e-09
1.28,8.072390916538453e-10
1.3000000000000003,1.0084279114198804e-08
1.3200000000000003,8.072390916538453e-10
1.34,6.991932440017154e-09
1.36,3.8995857658354965e-09
1.3800000000000001,3.482305250765203e-08
1.4000000000000001,1.3176625788380456e-08
1.42,3.173070583347038e-08
1.4400000000000002,1.9361319136743764e-08
1.4600000000000002,3.7915399181833685e-08
1.4800000000000002,-2.285107582527812e-09
1.5,6.991932440017154e-09
1.52,1.0084279114198804e-08
1.54,-1.774684095343608e-08
1.5600000000000003,-1.4654494279254425e-08
1.58,-8.46980093089112e-09
1.6,-5.377454256709463e-09
1.62,-2.285107582527812e-09
1.6400000000000001,6.991932440017154e-09
1.6600000000000001,6.991932440017154e-09
1.6800000000000002,1.6268972462562114e-08
1.7000000000000002,2.2453665810925415e-08
1.7200000000000002,3.7915399181833685e-08
1.7400000000000002,2.2453665810925415e-08
1.76,3.8995857658354965e-09
1.78,-2.0839187627617733e-08
1.8000000000000003,-3.01162276501627e-08
1.8200000000000003,-4.2485614346889304e-08
1.84,-3.6300920998526004e-08
1.86,-4.2485614346889304e-08
1.8800000000000001,-3.6300920998526004e-08
1.9000000000000001,-1.1562147605072771e-08
1.9200000000000004,-1.1562147605072771e-08
1.9400000000000002,6.991932440017154e-09
1.9600000000000004,2.5546012485107078e-08
1.98,2.2453665810925415e-08
2.0,1.3176625788380456e-08
2.02,-2.285107582527812e-09
2.04,1.9361319136743764e-08
2.06,-2.285107582527812e-09
2.08,1.3176625788380456e-08
2.1,1.9361319136743764e-08
2.1200000000000006,1.6268972462562114e-08
2.14,2.5546012485107078e-08
2.16,-2.285107582527812e-09
2.18,-8.46980093089112e-09
2.2,-8.46980093089112e-09
2.22,-1.4654494279254425e-08
2.24,-2.285107582527812e-09
2.2600000000000002,-5.377454256709463e-09
2.2800000000000002,8.072390916538453e-10
2.3000000000000003,6.991932440017154e-09
2.32,1.3176625788380456e-08
2.34,3.8995857658354965e-09
2.3600000000000003,2.5546012485107078e-08
2.3800000000000003,1.9361319136743764e-08
2.4000000000000004,1.6268972462562114e-08
2.4200000000000004,1.3176625788380456e-08
2.4400000000000004,3.8995857658354965e-09
2.4600000000000004,-1.4654494279254425e-08
2.48,-1.4654494279254425e-08
2.5,-1.1562147605072771e-08
2.52,-1.1562147605072771e-08
2.54,-8.46980093089112e-09
2.56,-2.285107582527812e-09
2.58,-5.377454256709463e-09
2.6000000000000005,6.991932440017154e-09
2.6200000000000006,1.3176625788380456e-08
2.6400000000000006,3.8995857658354965e-09
2.66,6.991932440017154e-09
2.68,-1.4654494279254425e-08
2.7,-2.0839187627617733e-08
2.72,-2.3931534301799387e-08
2.74,-2.0839187627617733e-08
2.7600000000000002,-1.4654494279254425e-08
2.7800000000000002,-8.46980093089112e-09
2.8000000000000003,-2.0839187627617733e-08
2.82,-2.0839187627617733e-08
2.84,-2.702388097598104e-08
2.8600000000000003,-1.4654494279254425e-08
2.8800000000000003,-1.4654494279254425e-08
2.9000000000000004,-5.377454256709463e-09
2.9200000000000004,-1.774684095343608e-08
2.9400000000000004,-8.46980093089112e-09
2.9600000000000004,8.072390916538453e-10
2.9800000000000004,1.3176625788380456e-08
3.0,-5.377454256709463e-09
3.02,-2.285107582527812e-09
3.04,6.991932440017154e-09
3.06,1.6268972462562114e-08
3.08,2.5546012485107078e-08
3.1000000000000005,1.3176625788380456e-08
3.1200000000000006,1.9361319136743764e-08
3.1400000000000006,1.6268972462562114e-08
3.16,3.8995857658354965e-09
3.18,1.6268972462562114e-08
3.2,-2.285107582527812e-09
3.22,-2.3931534301799387e-08
3.24,-3.01162276501627e-08
3.2600000000000002,-2.702388097598104e-08
3.2800000000000002,-3.01162276501627e-08
3.3000000000000003,-4.2485614346889304e-08
