Time (ms),Signal (mV)
0.0,-66.9501841287628
0.02,-66.9501841287628
0.04,-66.85632873045145
0.06000000000000001,-66.91889899599236
0.08,-66.9501841287628
0.1,-66.91889899599236
0.12000000000000002,-66.98146926153325
0.14,-66.88761386322192
0.16,-66.85632873045145
0.18000000000000002,-66.85632873045145
0.2,-66.98146926153325
0.22,-66.98146926153325
0.24000000000000005,-66.7624733321401
0.26,-66.85632873045145
0.28,-67.01275439430371
0.30000000000000004,-67.01275439430371
0.32,-66.85632873045145
0.34,-66.79375846491057
0.36000000000000004,-67.04403952707416
0.38,-67.07532465984461
0.4,-66.79375846491057
0.42000000000000004,-66.85632873045145
0.44,-66.91889899599236
0.46,-66.88761386322192
0.4800000000000001,-66.85632873045145
0.5,-66.9501841287628
0.52,-66.9501841287628
0.54,-66.825043597681
0.56,-66.88761386322192
0.58,-66.88761386322192
0.6000000000000001,-66.91889899599236
0.62,-66.9501841287628
0.64,-66.88761386322192
0.6600000000000001,-66.825043597681
0.68,-66.825043597681
0.7000000000000001,-66.825043597681
0.7200000000000001,-66.825043597681
0.7400000000000001,-66.85632873045145
0.76,-66.7624733321401
0.7800000000000001,-66.88761386322192
0.8,-66.825043597681
0.8200000000000001,-66.85632873045145
0.8400000000000001,-66.9501841287628
0.8600000000000001,-66.9501841287628
0.88,-66.7624733321401
0.9000000000000001,-66.85632873045145
0.92,-66.88761386322192
0.9400000000000001,-66.91889899599236
0.9600000000000002,-66.85632873045145
0.9800000000000002,-66.91889899599236
1.0,-66.79375846491057
1.02,-66.79375846491057
1.04,-66.88761386322192
1.0600000000000003,-66.9501841287628
1.08,-66.98146926153325
1.1,-66.7624733321401
1.12,-66.85632873045145
1.1400000000000001,-66.91889899599236
1.16,-66.85632873045145
1.1800000000000002,-66.79375846491057
1.2000000000000002,-66.98146926153325
1.2200000000000002,-66.91889899599236
1.24,-66.88761386322192
1.26,-66.88761386322192
1.28,-66.91889899599236
1.3000000000000003,-66.9501841287628
1.3200000000000003,-66.91889899599236
1.34,-66.88761386322192
1.36,-66.6999030665992
1.3800000000000001,-66.79375846491057
1.4000000000000001,-66.9501841287628
1.42,-66.85632873045145
1.4400000000000002,-66.66861793382877
1.4600000000000002,-67.07532465984461
1.4800000000000002,-66.88761386322192
1.5,-66.79375846491057
1.52,-66.825043597681
1.54,-66.88761386322192
1.5600000000000003,-66.7624733321401
1.58,-66.825043597681
1.6,-66.85632873045145
1.62,-66.825043597681
1.6400000000000001,-66.85632873045145
1.6600000000000001,-66.91889899599236
1.6800000000000002,-66.79375846491057
1.7000000000000002,-66.79375846491057
1.7200000000000002,-66.88761386322192
1.7400000000000002,-66.79375846491057
1.76,-66.79375846491057
1.78,-66.9501841287628
1.8000000000000003,-66.91889899599236
1.8200000000000003,-66.73118819936965
1.84,-67.01275439430371
1.86,-66.9501841287628
1.8800000000000001,-66.6999030665992
1.9000000000000001,-66.85632873045145
1.9200000000000004,-66.91889899599236
1.9400000000000002,-66.85632873045145
1.9600000000000004,-66.85632873045145
1.98,-66.9501841287628
2.0,-66.825043597681
2.02,-66.9501841287628
2.04,-66.88761386322192
2.06,-66.7624733321401
2.08,-66.9501841287628
2.1,-66.7624733321401
2.1200000000000006,-66.73118819936965
2.14,-66.9501841287628
2.16,-66.98146926153325
2.18,-66.7624733321401
2.2,-66.79375846491057
2.22,-66.88761386322192
2.24,-66.88761386322192
2.2600000000000002,-66.6999030665992
2.2800000000000002,-66.85632873045145
2.3000000000000003,-66.66861793382877
2.32,-66.85632873045145
2.34,-66.88761386322192
2.3600000000000003,-66.91889899599236
2.3800000000000003,-66.98146926153325
2.4000000000000004,-66.88761386322192
2.4200000000000004,-66.73118819936965
2.4400000000000004,-66.73118819936965
2.4600000000000004,-66.91889899599236
2.48,-66.85632873045145
2.5,-66.6999030665992
2.52,-66.88761386322192
2.54,-66.98146926153325
2.56,-66.85632873045145
2.58,-66.6373328010583
2.6000000000000005,-66.7624733321401
2.6200000000000006,-66.88761386322192
2.6400000000000006,-66.825043597681
2.66,-66.73118819936965
2.68,-66.9501841287628
2.7,-66.88761386322192
2.72,-66.85632873045145
2.74,-66.85632873045145
2.7600000000000002,-66.73118819936965
2.7800000000000002,-66.88761386322192
2.8000000000000003,-66.825043597681
2.82,-66.825043597681
2.84,-66.79375846491057
2.8600000000000003,-66.85632873045145
2.8800000000000003,-66.85632873045145
2.9000000000000004,-66.79375846491057
2.9200000000000004,-66.825043597681
2.9400000000000004,-66.825043597681
2.9600000000000004,-66.85632873045145
2.9800000000000004,-66.88761386322192
3.0,-66.79375846491057
3.02,-66.7624733321401
3.04,-66.85632873045145
3.06,-66.6999030665992
3.08,-66.91889899599236
3.1000000000000005,-66.98146926153325
3.1200000000000006,-66.79375846491057
3.1400000000000006,-66.73118819936965
3.16,-66.91889899599236
3.18,-67.04403952707416
3.2,-66.6999030665992
3.22,-66.85632873045145
3.24,-66.88761386322192
3.2600000000000002,-66.73118819936965
3.2800000000000002,-66.7624733321401
3.3000000000000003,-66.79375846491057
3.3200000000000003,-66.825043597681
3.3400000000000003,-66.79375846491057
3.3600000000000003,-66.88761386322192
3.3800000000000003,-66.73118819936965
3.4000000000000004,-66.79375846491057
3.4200000000000004,-66.79375846491057
3.4400000000000004,-66.88761386322192
3.4600000000000004,-66.6999030665992
3.4800000000000004,-66.7624733321401
3.5,-66.88761386322192
3.52,-66.79375846491057
3.54,-66.79375846491057
3.56,-66.9501841287628
3.58,-66.85632873045145
3.6000000000000005,-66.88761386322192
3.6200000000000006,-66.7624733321401
3.6400000000000006,-66.85632873045145
3.6600000000000006,-66.88761386322192
3.68,-66.9501841287628
3.7,-66.66861793382877
3.72,-66.825043597681
3.74,-66.6999030665992
3.7600000000000002,-66.79375846491057
3.7800000000000002,-66.85632873045145
3.8000000000000003,-66.98146926153325
3.8200000000000003,-66.85632873045145
3.8400000000000007,-66.85632873045145
3.8600000000000003,-67.01275439430371
3.8800000000000003,-66.79375846491057
3.9000000000000004,-66.6999030665992
3.920000000000001,-66.91889899599236
3.94,-66.73118819936965
3.96,-66.7624733321401
3.98,-66.79375846491057
4.0,-66.85632873045145
4.0200000000000005,-66.85632873045145
4.04,-66.91889899599236
4.0600000000000005,-66.7624733321401
4.08,-66.91889899599236
4.1000000000000005,-66.79375846491057
4.12,-66.79375846491057
4.140000000000001,-67.04403952707416
4.16,-66.88761386322192
4.180000000000001,-66.88761386322192
4.2,-66.98146926153325
4.220000000000001,-66.91889899599236
4.240000000000001,-66.79375846491057
4.260000000000001,-66.91889899599236
4.28,-66.98146926153325
4.3,-66.85632873045145
4.32,-66.825043597681
4.34,-66.91889899599236
4.36,-66.85632873045145
4.38,-66.88761386322192
4.4,-66.85632873045145
4.42,-66.91889899599236
4.44,-66.91889899599236
4.460000000000001,-66.825043597681
4.48,-66.79375846491057
4.500000000000001,-66.88761386322192
4.5200000000000005,-66.91889899599236
4.540000000000001,-66.6999030665992
4.5600000000000005,-66.825043597681
4.580000000000001,-66.91889899599236
4.6000000000000005,-66.88761386322192
4.62,-66.79375846491057
4.64,-66.91889899599236
4.66,-66.91889899599236
4.68,-66.73118819936965
4.7,-66.79375846491057
4.720000000000001,-66.79375846491057
4.74,-66.85632873045145
4.760000000000001,-66.85632873045145
4.78,-66.88761386322192
4.800000000000001,-66.85632873045145
4.82,-66.825043597681
4.840000000000001,-66.7624733321401
4.86,-66.6999030665992
4.880000000000001,-66.88761386322192
4.9,-66.79375846491057
4.920000000000001,-66.6999030665992
4.94,-66.6999030665992
4.96,-66.85632873045145
4.98,-66.91889899599236
5.0,-66.825043597681
5.0200000000000005,-66.6999030665992
5.04,-66.7624733321401
5.0600000000000005,-66.79375846491057
5.08,-66.7624733321401
5.1000000000000005,-66.85632873045145
5.12,-66.91889899599236
5.140000000000001,-66.88761386322192
5.16,-66.6999030665992
5.180000000000001,-66.79375846491057
5.200000000000001,-66.9501841287628
5.220000000000001,-66.85632873045145
5.240000000000001,-66.79375846491057
5.260000000000001,-66.79375846491057
5.280000000000001,-66.85632873045145
