Time (ms),Signal (mV)
0.0,-75.52231050786608
0.02,-75.55359564063653
0.04,-75.42845510955473
0.06000000000000001,-75.36588484401383
0.08,-75.42845510955473
0.1,-75.30331457847294
0.12000000000000002,-75.36588484401383
0.14,-75.52231050786608
0.16,-75.42845510955473
0.18000000000000002,-75.39716997678428
0.2,-75.39716997678428
0.22,-75.36588484401383
0.24000000000000005,-75.42845510955473
0.26,-75.45974024232518
0.28,-75.42845510955473
0.30000000000000004,-75.42845510955473
0.32,-75.39716997678428
0.34,-75.24074431293204
0.36000000000000004,-75.30331457847294
0.38,-75.27202944570247
0.4,-75.30331457847294
0.42000000000000004,-75.55359564063653
0.44,-75.42845510955473
0.46,-75.27202944570247
0.4800000000000001,-75.17817404739114
0.5,-75.30331457847294
0.52,-75.36588484401383
0.54,-75.27202944570247
0.56,-75.36588484401383
0.58,-75.36588484401383
0.6000000000000001,-75.58488077340698
0.62,-75.33459971124338
0.64,-75.24074431293204
0.6600000000000001,-75.52231050786608
0.68,-75.33459971124338
0.7000000000000001,-75.24074431293204
0.7200000000000001,-75.24074431293204
0.7400000000000001,-75.45974024232518
0.76,-75.45974024232518
0.7800000000000001,-75.39716997678428
0.8,-75.24074431293204
0.8200000000000001,-75.24074431293204
0.8400000000000001,-75.36588484401383
0.8600000000000001,-75.33459971124338
0.88,-75.30331457847294
0.9000000000000001,-75.33459971124338
0.92,-75.30331457847294
0.9400000000000001,-75.39716997678428
0.9600000000000002,-75.42845510955473
0.9800000000000002,-75.36588484401383
1.0,-75.20945918016159
1.02,-75.20945918016159
1.04,-75.17817404739114
1.0600000000000003,-75.36588484401383
1.08,-75.42845510955473
1.1,-75.33459971124338
1.12,-75.30331457847294
1.1400000000000001,-75.36588484401383
1.16,-75.30331457847294
1.1800000000000002,-75.27202944570247
1.2000000000000002,-75.27202944570247
1.2200000000000002,-75.27202944570247
1.24,-75.27202944570247
1.26,-75.20945918016159
1.28,-75.36588484401383
1.3000000000000003,-75.33459971124338
1.3200000000000003,-75.42845510955473
1.34,-75.30331457847294
1.36,-75.20945918016159
1.3800000000000001,-75.36588484401383
1.4000000000000001,-75.24074431293204
1.42,-75.33459971124338
