Time (ms),Voltage (mV)
0.0,-72.11223103588705
0.02,-72.08094590311659
0.04,-71.5803837787894
0.06000000000000001,-71.67423917710074
0.08,-72.2686566997393
0.1,-72.3312269652802
0.12000000000000002,-71.83066484095299
0.14,-71.7055243098712
0.16,-72.23737156696885
0.18000000000000002,-72.08094590311659
0.2,-71.83066484095299
0.22,-71.76809457541209
0.24000000000000005,-72.3312269652802
0.26,-72.04966077034615
0.28,-71.76809457541209
0.30000000000000004,-71.89323510649389
0.32,-72.23737156696885
0.34,-71.92452023926435
0.36000000000000004,-71.83066484095299
0.38,-72.1435161686575
0.4,-72.2686566997393
0.42000000000000004,-71.86194997372344
0.44,-71.67423917710074
0.46,-72.20608643419838
0.4800000000000001,-72.3937972308211
0.5,-71.83066484095299
0.52,-71.67423917710074
0.54,-72.2686566997393
0.56,-72.1435161686575
0.58,-71.73680944264164
0.6000000000000001,-71.95580537203479
0.62,-72.36251209805064
0.64,-72.08094590311659
0.6600000000000001,-71.5803837787894
0.68,-71.73680944264164
0.7000000000000001,-72.23737156696885
0.7200000000000001,-72.17480130142795
0.7400000000000001,-71.83066484095299
0.76,-72.0183756375757
0.7800000000000001,-72.08094590311659
0.8,-71.98709050480524
0.8200000000000001,-71.89323510649389
0.8400000000000001,-72.1435161686575
0.8600000000000001,-72.20608643419838
0.88,-71.89323510649389
0.9000000000000001,-71.7055243098712
0.92,-72.3312269652802
0.9400000000000001,-72.20608643419838
0.9600000000000002,-71.73680944264164
0.9800000000000002,-71.79937970818256
1.0,-72.1435161686575
1.02,-72.11223103588705
1.04,-71.7055243098712
1.0600000000000003,-71.79937970818256
1.08,-72.23737156696885
1.1,-72.04966077034615
1.12,-71.67423917710074
1.1400000000000001,-71.86194997372344
1.16,-72.36251209805064
1.1800000000000002,-72.04966077034615
1.2000000000000002,-71.67423917710074
1.2200000000000002,-71.95580537203479
1.24,-72.20608643419838
1.26,-71.92452023926435
1.28,-71.83066484095299
1.3000000000000003,-72.1435161686575
1.3200000000000003,-72.23737156696885
1.34,-71.92452023926435
1.36,-71.67423917710074
1.3800000000000001,-72.08094590311659
1.4000000000000001,-72.1435161686575
1.42,-71.86194997372344
1.4400000000000002,-71.86194997372344
1.4600000000000002,-72.20608643419838
1.4800000000000002,-71.98709050480524
1.5,-71.76809457541209
1.52,-71.95580537203479
1.54,-72.1435161686575
1.5600000000000003,-71.79937970818256
1.58,-71.67423917710074
1.6,-71.98709050480524
1.62,-72.3312269652802
1.6400000000000001,-71.92452023926435
1.6600000000000001,-71.76809457541209
1.6800000000000002,-72.11223103588705
1.7000000000000002,-72.3312269652802
1.7200000000000002,-71.83066484095299
1.7400000000000002,-71.5803837787894
1.76,-72.36251209805064
1.78,-72.23737156696885
1.8000000000000003,-71.89323510649389
1.8200000000000003,-71.79937970818256
1.84,-72.23737156696885
1.86,-72.08094590311659
1.8800000000000001,-71.83066484095299
1.9000000000000001,-71.86194997372344
1.9200000000000004,-72.2686566997393
1.9400000000000002,-72.11223103588705
1.9600000000000004,-71.79937970818256
1.98,-71.95580537203479
2.0,-72.17480130142795
2.02,-71.79937970818256
2.04,-71.76809457541209
2.06,-72.23737156696885
2.08,-72.17480130142795
2.1,-71.67423917710074
2.1200000000000006,-71.7055243098712
2.14,-72.23737156696885
2.16,-72.20608643419838
2.18,-71.7055243098712
2.2,-71.61166891155985
2.22,-72.17480130142795
2.24,-72.20608643419838
2.2600000000000002,-71.76809457541209
2.2800000000000002,-71.61166891155985
2.3000000000000003,-72.42508236359154
2.32,-72.11223103588705
2.34,-71.48652838047805
2.3600000000000003,-71.89323510649389
2.3800000000000003,-72.45636749636199
2.4000000000000004,-72.08094590311659
2.4200000000000004,-71.48652838047805
2.4400000000000004,-71.86194997372344
2.4600000000000004,-72.3937972308211
2.48,-72.0183756375757
2.5,-71.7055243098712
2.52,-72.0183756375757
2.54,-72.17480130142795
2.56,-71.76809457541209
2.58,-71.76809457541209
2.6000000000000005,-72.23737156696885
2.6200000000000006,-72.17480130142795
2.6400000000000006,-71.6429540443303
2.66,-71.67423917710074
2.68,-72.23737156696885
2.7,-72.3312269652802
2.72,-71.83066484095299
2.74,-71.73680944264164
2.7600000000000002,-72.08094590311659
2.7800000000000002,-72.0183756375757
2.8000000000000003,-71.76809457541209
2.82,-71.76809457541209
2.84,-71.92452023926435
2.8600000000000003,-71.86194997372344
2.8800000000000003,-71.73680944264164
2.9000000000000004,-72.04966077034615
2.9200000000000004,-72.11223103588705
2.9400000000000004,-71.89323510649389
2.9600000000000004,-71.86194997372344
2.9800000000000004,-72.04966077034615
3.0,-71.98709050480524
3.02,-71.92452023926435
3.04,-71.79937970818256
3.06,-72.08094590311659
3.08,-72.08094590311659
3.1000000000000005,-71.98709050480524
3.1200000000000006,-71.76809457541209
3.1400000000000006,-71.86194997372344
3.16,-71.86194997372344
3.18,-71.95580537203479
3.2,-72.04966077034615
3.22,-72.04966077034615
3.24,-71.86194997372344
3.2600000000000002,-71.7055243098712
3.2800000000000002,-71.83066484095299
3.3000000000000003,-72.1435161686575
3.3200000000000003,-71.83066484095299
3.3400000000000003,-71.67423917710074
3.3600000000000003,-72.17480130142795
3.3800000000000003,-72.23737156696885
3.4000000000000004,-71.73680944264164
3.4200000000000004,-71.5803837787894
3.4400000000000004,-72.1435161686575
3.4600000000000004,-72.0183756375757
3.4800000000000004,-71.7055243098712
3.5,-71.83066484095299
3.52,-72.17480130142795
3.54,-72.04966077034615
3.56,-71.5803837787894
3.58,-71.6429540443303
3.6000000000000005,-72.3937972308211
3.6200000000000006,-72.04966077034615
3.6400000000000006,-71.48652838047805
3.6600000000000006,-71.7055243098712
3.68,-72.20608643419838
3.7,-71.98709050480524
3.72,-71.67423917710074
3.74,-71.95580537203479
3.7600000000000002,-72.0183756375757
3.7800000000000002,-71.7055243098712
3.8000000000000003,-71.7055243098712
3.8200000000000003,-72.11223103588705
3.8400000000000007,-71.95580537203479
3.8600000000000003,-71.79937970818256
3.8800000000000003,-71.86194997372344
3.9000000000000004,-72.17480130142795
3.920000000000001,-71.95580537203479
3.94,-71.67423917710074
3.96,-71.79937970818256
3.98,-72.17480130142795
4.0,-72.0183756375757
4.0200000000000005,-71.6429540443303
4.04,-71.76809457541209
4.0600000000000005,-72.23737156696885
4.08,-71.92452023926435
4.1000000000000005,-71.6429540443303
4.12,-71.92452023926435
4.140000000000001,-72.3312269652802
4.16,-71.86194997372344
4.180000000000001,-71.6429540443303
4.2,-72.11223103588705
4.220000000000001,-72.04966077034615
4.240000000000001,-71.76809457541209
4.260000000000001,-71.67423917710074
4.28,-72.3312269652802
4.3,-72.04966077034615
4.32,-71.48652838047805
4.34,-71.73680944264164
4.36,-72.20608643419838
4.38,-72.0183756375757
4.4,-71.6429540443303
4.42,-71.76809457541209
4.44,-72.20608643419838
4.460000000000001,-71.79937970818256
4.48,-71.54909864601895
4.500000000000001,-71.83066484095299
4.5200000000000005,-72.17480130142795
4.540000000000001,-71.79937970818256
4.5600000000000005,-71.61166891155985
4.580000000000001,-71.95580537203479
4.6000000000000005,-71.95580537203479
4.62,-71.61166891155985
4.64,-71.5803837787894
4.66,-72.17480130142795
4.68,-72.0183756375757
4.7,-71.48652838047805
4.720000000000001,-71.5803837787894
4.74,-72.20608643419838
4.760000000000001,-72.0183756375757
4.78,-71.5178135132485
4.800000000000001,-71.73680944264164
4.82,-72.2686566997393
4.840000000000001,-71.6429540443303
4.86,-71.54909864601895
4.880000000000001,-72.0183756375757
4.9,-72.23737156696885
4.920000000000001,-71.73680944264164
4.94,-71.48652838047805
4.96,-72.11223103588705
4.98,-72.20608643419838
5.0,-71.6429540443303
5.0200000000000005,-71.45524324770759
