Time (ms),Signal (mV)
0.0,-69.1401434226943
0.02,-69.17142855546476
0.04,-69.2027136882352
0.06000000000000001,-69.17142855546476
0.08,-69.23399882100566
0.1,-69.17142855546476
0.12000000000000002,-69.10885828992386
0.14,-69.1401434226943
0.16,-69.10885828992386
0.18000000000000002,-69.17142855546476
0.2,-69.1401434226943
0.22,-69.04628802438295
0.24000000000000005,-69.07757315715341
0.26,-69.1401434226943
0.28,-69.07757315715341
0.30000000000000004,-69.1401434226943
0.32,-69.04628802438295
0.34,-69.04628802438295
0.36000000000000004,-69.07757315715341
0.38,-69.07757315715341
0.4,-69.1401434226943
0.42000000000000004,-69.0150028916125
0.44,-69.10885828992386
0.46,-69.10885828992386
0.4800000000000001,-69.10885828992386
0.5,-69.04628802438295
0.52,-69.04628802438295
0.54,-69.10885828992386
0.56,-69.04628802438295
0.58,-69.0150028916125
0.6000000000000001,-69.0150028916125
0.62,-69.07757315715341
0.64,-69.0150028916125
0.6600000000000001,-69.07757315715341
0.68,-69.07757315715341
0.7000000000000001,-69.04628802438295
0.7200000000000001,-68.92114749330115
0.7400000000000001,-69.04628802438295
0.76,-69.0150028916125
0.7800000000000001,-69.07757315715341
0.8,-69.07757315715341
0.8200000000000001,-69.1401434226943
0.8400000000000001,-69.0150028916125
0.8600000000000001,-68.98371775884206
0.88,-69.0150028916125
0.9000000000000001,-69.0150028916125
0.92,-69.04628802438295
0.9400000000000001,-69.1401434226943
0.9600000000000002,-69.10885828992386
0.9800000000000002,-69.10885828992386
1.0,-68.98371775884206
1.02,-69.0150028916125
1.04,-68.98371775884206
1.0600000000000003,-69.04628802438295
1.08,-69.07757315715341
1.1,-69.07757315715341
1.12,-69.07757315715341
1.1400000000000001,-69.0150028916125
1.16,-68.95243262607161
1.1800000000000002,-69.04628802438295
1.2000000000000002,-68.95243262607161
1.2200000000000002,-69.07757315715341
1.24,-69.0150028916125
1.26,-69.0150028916125
1.28,-69.04628802438295
1.3000000000000003,-68.98371775884206
1.3200000000000003,-69.0150028916125
1.34,-68.98371775884206
1.36,-69.0150028916125
1.3800000000000001,-69.0150028916125
1.4000000000000001,-69.0150028916125
1.42,-68.98371775884206
1.4400000000000002,-68.98371775884206
1.4600000000000002,-68.98371775884206
1.4800000000000002,-68.98371775884206
1.5,-68.92114749330115
1.52,-68.92114749330115
1.54,-68.98371775884206
1.5600000000000003,-68.8898623605307
1.58,-69.0150028916125
1.6,-68.85857722776026
1.62,-69.0150028916125
1.6400000000000001,-68.98371775884206
1.6600000000000001,-69.0150028916125
1.6800000000000002,-68.8898623605307
1.7000000000000002,-68.8898623605307
1.7200000000000002,-68.8898623605307
1.7400000000000002,-68.8898623605307
1.76,-68.92114749330115
1.78,-68.98371775884206
1.8000000000000003,-68.95243262607161
1.8200000000000003,-68.92114749330115
1.84,-69.0150028916125
1.86,-69.0150028916125
1.8800000000000001,-68.8898623605307
1.9000000000000001,-68.95243262607161
1.9200000000000004,-68.92114749330115
1.9400000000000002,-68.92114749330115
1.9600000000000004,-68.98371775884206
1.98,-68.8898623605307
2.0,-68.8898623605307
2.02,-68.85857722776026
2.04,-68.8898623605307
2.06,-68.92114749330115
2.08,-68.85857722776026
2.1,-68.8898623605307
2.1200000000000006,-68.8272920949898
2.14,-68.85857722776026
2.16,-68.95243262607161
2.18,-68.95243262607161
2.2,-68.98371775884206
2.22,-68.8898623605307
2.24,-68.8272920949898
2.2600000000000002,-68.85857722776026
2.2800000000000002,-68.79600696221935
2.3000000000000003,-68.85857722776026
2.32,-68.8898623605307
2.34,-68.79600696221935
2.3600000000000003,-68.79600696221935
2.3800000000000003,-68.95243262607161
2.4000000000000004,-68.85857722776026
2.4200000000000004,-68.85857722776026
2.4400000000000004,-68.85857722776026
