Mid_Current_nA,InputResistance_GOhm
-0.095,0.171
-0.08499999999999999,0.18
-0.07500000000000001,0.189
-0.065,0.2
-0.055,0.21
-0.045,0.22
-0.035,0.228
-0.025,0.233
-0.015,0.235
-0.005,0.234
0.005,0.232
0.015,0.23
0.025,0.232
0.035,0.24
0.045,0.264
0.055,0.323
0.065,0.055
0.07500000000000001,-0.035
0.08499999999999999,0.131
0.095,0.085
0.10500000000000001,0.08
0.11499999999999999,0.081
0.125,0.046
0.135,0.127
0.14500000000000002,0.14
0.155,0.025
0.165,0.076
0.175,0.116
0.185,0.077
0.195,0.112
0.20500000000000002,0.011
0.215,0.126
0.225,0.073
0.235,0.096
0.245,0.036
0.255,0.119
0.265,0.002
0.275,0.064
0.28500000000000003,0.066
0.295,0.099
0.305,0.035
0.315,0.067
0.325,0.044
0.335,-0.099
0.345,0.02
0.355,0.021
0.365,0.02
0.375,0.02
0.385,0.02
