Stimulus_nA,SteadyStateVoltage_mV,AP_count
-0.1,-79.324,0
-0.09,-78.469,0
-0.08,-77.562,0
-0.07,-76.598,0
-0.06,-75.571,0
-0.05,-74.476,0
-0.04,-73.308,0
-0.03,-72.063,0
-0.02,-70.744,0
-0.01,-69.351,0
-0.0,-67.894,0
0.01,-66.385,0
0.02,-64.833,0
0.03,-63.249,0
0.04,-61.634,0
0.05,-59.983,0
0.06,-58.283,0
0.07,-56.505,0
0.08,-54.618,0
0.09,-52.609,0
0.1,-50.563,0
0.11,-48.701,0
0.12,-50.338,50
0.13,-49.036,56
0.14,-48.746,60
0.15,-47.494,64
0.16,-47.313,67
0.17,-45.962,70
0.18,-45.47,72
0.19,-45.014,75
0.2,-43.571,76
0.21,-43.31,78
0.22,-42.316,79
0.23,-41.526,81
0.24,-40.273,81
0.25,-40.317,82
0.26,-38.929,82
0.27,-38.378,83
0.28,-37.617,82
0.29,-37.707,82
0.3,-36.988,10
0.31,-36.674,8
0.32,-37.182,7
0.33,-36.92,6
0.34,-36.666,5
0.35,-36.417,5
0.36,-36.175,5
0.37,-35.938,4
0.38,-35.706,4
0.39,-35.479,4
