Mid_Current_nA,InputResistance_GOhm
-0.095,0.099
-0.08499999999999999,0.103
-0.07500000000000001,0.108
-0.065,0.112
-0.055,0.117
-0.045,0.122
-0.035,0.126
-0.025,0.13
-0.015,0.134
-0.005,0.138
0.005,0.142
0.015,0.145
0.025,0.15
0.035,0.157
0.045,0.166
0.055,0.183
0.065,0.221
0.07500000000000001,0.477
0.08499999999999999,-0.286
0.095,-0.01
0.10500000000000001,0.079
0.11499999999999999,0.037
0.125,0.046
0.135,0.085
0.14500000000000002,-0.029
0.155,0.095
0.165,0.098
0.175,0.002
0.185,0.05
0.195,0.081
0.20500000000000002,0.071
0.215,0.038
0.225,0.04
0.235,0.096
0.245,0.069
0.255,0.07
0.265,0.039
0.275,0.102
0.28500000000000003,0.047
0.295,0.05
0.305,0.102
0.315,-0.006
0.325,0.053
0.335,0.1
0.345,0.065
0.355,0.093
0.365,0.062
0.375,0.008
0.385,0.062
