Stimulus_nA,SteadyStateVoltage_mV,AP_count
-0.1,-83.698,0
-0.09,-82.706,0
-0.08,-81.672,0
-0.07,-80.594,0
-0.06,-79.47,0
-0.05,-78.301,0
-0.04,-77.086,0
-0.03,-75.827,0
-0.02,-74.525,0
-0.01,-73.183,0
-0.0,-71.804,0
0.01,-70.387,0
0.02,-68.932,0
0.03,-67.43,0
0.04,-65.864,0
0.05,-64.202,0
0.06,-62.369,0
0.07,-60.16,0
0.08,-55.393,4
0.09,-58.252,35
0.1,-58.353,46
0.11,-57.563,53
0.12,-57.189,60
0.13,-56.725,65
0.14,-55.878,70
0.15,-56.172,74
0.16,-55.224,79
0.17,-54.247,82
0.18,-54.23,86
0.19,-53.728,89
0.2,-52.916,92
0.21,-52.21,95
0.22,-51.826,98
0.23,-51.422,101
0.24,-50.462,103
0.25,-49.768,106
0.26,-49.068,108
0.27,-48.673,110
0.28,-47.649,112
0.29,-47.177,113
0.3,-46.673,115
0.31,-45.653,117
0.32,-45.712,118
0.33,-45.18,119
0.34,-44.182,121
0.35,-43.535,122
0.36,-42.604,123
0.37,-41.98,124
0.38,-41.903,125
0.39,-41.281,125
