Mid_Current_nA,InputResistance_GOhm
-0.095,0.103
-0.08499999999999999,0.109
-0.07500000000000001,0.116
-0.065,0.123
-0.055,0.131
-0.045,0.139
-0.035,0.147
-0.025,0.155
-0.015,0.162
-0.005,0.168
0.005,0.173
0.015,0.179
0.025,0.186
0.035,0.196
0.045,0.214
0.055,0.255
0.065,0.397
0.07500000000000001,-0.22
0.08499999999999999,-0.024
0.095,0.015
0.10500000000000001,0.107
0.11499999999999999,0.012
0.125,0.15
0.135,0.024
0.14500000000000002,0.117
0.155,0.009
0.165,0.117
0.175,0.034
0.185,0.133
0.195,0.038
0.20500000000000002,0.055
0.215,0.123
0.225,0.056
0.235,0.13
0.245,0.023
0.255,0.099
0.265,0.066
0.275,0.105
0.28500000000000003,0.087
0.295,0.001
0.305,0.116
0.315,0.012
0.325,0.117
0.335,0.069
0.345,0.058
0.355,0.007
0.365,0.113
0.375,0.003
0.385,0.064
