Stimulus_nA,SteadyStateVoltage_mV,AP_count
-0.1,-83.605,0
-0.09,-82.571,0
-0.08,-81.477,0
-0.07,-80.318,0
-0.06,-79.087,0
-0.05,-77.78,0
-0.04,-76.393,0
-0.03,-74.925,0
-0.02,-73.38,0
-0.01,-71.763,0
-0.0,-70.083,0
0.01,-68.348,0
0.02,-66.558,0
0.03,-64.702,0
0.04,-62.745,0
0.05,-60.604,0
0.06,-58.052,0
0.07,-54.085,0
0.08,-56.281,34
0.09,-56.522,46
0.1,-56.374,53
0.11,-55.307,59
0.12,-55.19,64
0.13,-53.693,69
0.14,-53.457,73
0.15,-52.29,77
0.16,-52.198,81
0.17,-51.023,84
0.18,-50.688,87
0.19,-49.363,90
0.2,-48.978,92
0.21,-48.433,94
0.22,-47.202,97
0.23,-46.646,98
0.24,-45.349,100
0.25,-45.12,102
0.26,-44.131,103
0.27,-43.474,104
0.28,-42.427,105
0.29,-41.556,106
0.3,-41.543,107
0.31,-40.38,108
0.32,-40.255,108
0.33,-39.083,108
0.34,-38.394,108
0.35,-37.813,108
0.36,-37.744,108
0.37,-36.609,107
0.38,-36.583,107
0.39,-35.939,20
