Mid_Current_nA,InputResistance_GOhm
-0.095,0.095
-0.08499999999999999,0.101
-0.07500000000000001,0.107
-0.065,0.115
-0.055,0.123
-0.045,0.132
-0.035,0.142
-0.025,0.151
-0.015,0.16
-0.005,0.167
0.005,0.17
0.015,0.169
0.025,0.164
0.035,0.157
0.045,0.148
0.055,0.139
0.065,0.131
0.07500000000000001,0.123
0.08499999999999999,0.116
0.095,0.11
0.10500000000000001,0.105
0.11499999999999999,0.1
0.125,0.095
0.135,0.091
0.14500000000000002,0.087
0.155,0.083
0.165,0.079
0.175,0.075
0.185,0.07
0.195,0.067
0.20500000000000002,0.063
0.215,0.059
0.225,0.056
0.235,0.052
0.245,0.05
0.255,0.047
0.265,0.044
0.275,0.042
0.28500000000000003,0.04
