Stimulus_nA,SteadyStateVoltage_mV,AP_count
-0.1,-85.491,0
-0.09,-84.542,0
-0.08,-83.534,0
-0.07,-82.46,0
-0.06,-81.312,0
-0.05,-80.081,0
-0.04,-78.762,0
-0.03,-77.346,0
-0.02,-75.835,0
-0.01,-74.236,0
-0.0,-72.57,0
0.01,-70.873,0
0.02,-69.187,0
0.03,-67.548,0
0.04,-65.982,0
0.05,-64.503,0
0.06,-63.111,0
0.07,-61.804,0
0.08,-60.573,0
0.09,-59.411,0
0.1,-58.309,0
0.11,-57.262,0
0.12,-56.265,0
0.13,-55.313,0
0.14,-54.404,0
0.15,-53.536,0
0.16,-52.709,0
0.17,-51.923,0
0.18,-51.177,0
0.19,-50.472,0
0.2,-49.805,0
0.21,-49.176,1
0.22,-48.584,1
0.23,-48.024,1
0.24,-47.499,1
0.25,-47.001,1
0.26,-46.532,1
0.27,-46.087,1
0.28,-45.666,1
0.29,-45.265,1
