Mid_Current_nA,InputResistance_GOhm
-0.095,0.099
-0.08499999999999999,0.106
-0.07500000000000001,0.113
-0.065,0.121
-0.055,0.13
-0.045,0.14
-0.035,0.15
-0.025,0.161
-0.015,0.171
-0.005,0.179
0.005,0.186
0.015,0.191
0.025,0.195
0.035,0.199
0.045,0.205
0.055,0.214
0.065,0.226
0.07500000000000001,0.233
0.08499999999999999,-0.235
0.095,0.023
0.10500000000000001,-0.032
0.11499999999999999,0.101
0.125,0.053
0.135,0.075
0.14500000000000002,0.108
0.155,-0.007
0.165,0.115
0.175,0.08
0.185,-0.037
0.195,0.116
0.20500000000000002,0.055
0.215,0.084
0.225,0.043
0.235,0.098
0.245,0.06
0.255,0.048
0.265,0.111
0.275,0.04
0.28500000000000003,0.052
0.295,0.064
0.305,0.058
0.315,0.061
0.325,0.065
0.335,0.094
0.345,0.013
0.355,0.066
0.365,0.124
0.375,0.024
0.385,0.089
