Stimulus_nA,SteadyStateVoltage_mV,AP_count
-0.1,-82.836,0
-0.09,-81.843,0
-0.08,-80.785,0
-0.07,-79.654,0
-0.06,-78.442,0
-0.05,-77.14,0
-0.04,-75.74,0
-0.03,-74.236,0
-0.02,-72.628,0
-0.01,-70.919,0
-0.0,-69.125,0
0.01,-67.263,0
0.02,-65.352,0
0.03,-63.402,0
0.04,-61.412,0
0.05,-59.364,0
0.06,-57.223,0
0.07,-54.961,0
0.08,-52.635,0
0.09,-54.986,40
0.1,-54.751,47
0.11,-55.073,53
0.12,-54.059,58
0.13,-53.531,62
0.14,-52.785,66
0.15,-51.707,70
0.16,-51.78,73
0.17,-50.627,76
0.18,-49.824,79
0.19,-50.195,82
0.2,-49.035,85
0.21,-48.485,87
0.22,-47.65,89
0.23,-47.216,91
0.24,-46.237,93
0.25,-45.64,95
0.26,-45.157,96
0.27,-44.047,98
0.28,-43.651,99
0.29,-43.136,100
0.3,-42.497,102
0.31,-41.915,102
0.32,-41.303,103
0.33,-40.649,104
0.34,-39.709,104
0.35,-39.576,105
0.36,-38.914,105
0.37,-37.675,104
0.38,-37.433,104
0.39,-36.539,102
