Mid_Current_nA,InputResistance_GOhm
-0.095,0.097
-0.08499999999999999,0.103
-0.07500000000000001,0.11
-0.065,0.117
-0.055,0.126
-0.045,0.134
-0.035,0.144
-0.025,0.153
-0.015,0.161
-0.005,0.167
0.005,0.169
0.015,0.167
0.025,0.161
0.035,0.153
0.045,0.144
0.055,0.136
0.065,0.127
0.07500000000000001,0.119
0.08499999999999999,0.112
0.095,0.106
0.10500000000000001,0.1
0.11499999999999999,0.095
0.125,0.09
0.135,0.086
0.14500000000000002,0.082
0.155,0.078
0.165,0.074
0.175,0.07
0.185,0.066
0.195,0.063
0.20500000000000002,0.059
0.215,0.056
0.225,-0.048
0.235,0.033
0.245,0.025
0.255,0.052
0.265,0.034
0.275,0.081
0.28500000000000003,-0.013
0.295,0.065
0.305,0.076
0.315,-0.016
0.325,0.058
0.335,0.067
0.345,0.047
0.355,0.056
0.365,0.022
0.375,0.046
0.385,0.075
