Stimulus_nA,SteadyStateVoltage_mV,AP_count
-0.1,-86.229,0
-0.09,-85.255,0
-0.08,-84.221,0
-0.07,-83.12,0
-0.06,-81.946,0
-0.05,-80.69,0
-0.04,-79.345,0
-0.03,-77.907,0
-0.02,-76.377,0
-0.01,-74.767,0
-0.0,-73.099,0
0.01,-71.41,0
0.02,-69.742,0
0.03,-68.129,0
0.04,-66.595,0
0.05,-65.15,0
0.06,-63.795,0
0.07,-62.526,0
0.08,-61.334,0
0.09,-60.213,0
0.1,-59.154,0
0.11,-58.152,0
0.12,-57.2,0
0.13,-56.296,0
0.14,-55.435,0
0.15,-54.617,0
0.16,-53.838,0
0.17,-53.099,0
0.18,-52.399,0
0.19,-51.736,1
0.2,-51.109,1
0.21,-50.518,1
0.22,-49.959,1
0.23,-50.442,65
0.24,-50.112,69
0.25,-49.86,73
0.26,-49.335,75
0.27,-48.995,78
0.28,-48.182,80
0.29,-48.316,82
0.3,-47.667,84
0.31,-46.905,86
0.32,-47.07,87
0.33,-46.486,88
0.34,-45.817,89
0.35,-45.347,90
0.36,-44.789,91
0.37,-44.567,91
0.38,-44.103,91
0.39,-43.353,91
