Mid_Current_nA,InputResistance_GOhm
-0.095,0.111
-0.08499999999999999,0.116
-0.07500000000000001,0.123
-0.065,0.13
-0.055,0.137
-0.045,0.145
-0.035,0.153
-0.025,0.16
-0.015,0.166
-0.005,0.169
0.005,0.171
0.015,0.17
0.025,0.167
0.035,0.163
0.045,0.157
0.055,0.152
0.065,0.147
0.07500000000000001,0.142
0.08499999999999999,0.137
0.095,0.133
0.10500000000000001,0.128
0.11499999999999999,0.122
0.125,0.115
0.135,0.107
0.14500000000000002,0.098
0.155,0.088
0.165,0.155
0.175,0.008
0.185,0.03
0.195,0.031
0.20500000000000002,0.11
0.215,0.017
0.225,0.062
0.235,0.073
0.245,0.041
0.255,0.047
0.265,0.081
0.275,0.004
0.28500000000000003,0.05
