Mid_Current_nA,InputResistance_GOhm
-0.095,0.107
-0.08499999999999999,0.113
-0.07500000000000001,0.12
-0.065,0.128
-0.055,0.136
-0.045,0.146
-0.035,0.156
-0.025,0.165
-0.015,0.174
-0.005,0.181
0.005,0.184
0.015,0.184
0.025,0.18
0.035,0.174
0.045,0.167
0.055,0.159
0.065,0.151
0.07500000000000001,0.143
0.08499999999999999,0.135
0.095,0.127
0.10500000000000001,0.118
0.11499999999999999,0.109
0.125,0.1
0.135,0.09
0.14500000000000002,0.082
0.155,0.074
0.165,0.067
0.175,0.061
0.185,0.056
0.195,0.052
0.20500000000000002,0.048
0.215,0.044
0.225,0.041
0.235,0.039
0.245,0.037
0.255,0.034
0.265,0.033
0.275,0.031
0.28500000000000003,0.03
0.295,0.028
0.305,0.027
0.315,0.026
0.325,0.025
0.335,0.024
0.345,0.024
0.355,0.023
0.365,0.022
0.375,0.022
0.385,0.021
