Stimulus_nA,SteadyStateVoltage_mV,AP_count
-0.1,-87.371,0
-0.09,-86.302,0
-0.08,-85.171,0
-0.07,-83.97,0
-0.06,-82.692,0
-0.05,-81.328,0
-0.04,-79.87,0
-0.03,-78.314,0
-0.02,-76.661,0
-0.01,-74.92,0
-0.0,-73.113,0
0.01,-71.272,0
0.02,-69.432,0
0.03,-67.629,0
0.04,-65.885,0
0.05,-64.216,0
0.06,-62.626,0
0.07,-61.117,0
0.08,-59.686,0
0.09,-58.336,0
0.1,-57.069,0
0.11,-55.888,0
0.12,-54.799,0
0.13,-53.803,0
0.14,-52.898,1
0.15,-52.079,1
0.16,-51.337,1
0.17,-50.664,1
0.18,-50.052,1
0.19,-49.492,1
0.2,-48.976,1
0.21,-48.5,1
0.22,-48.058,1
0.23,-47.645,1
0.24,-47.258,1
0.25,-46.893,1
0.26,-46.549,1
0.27,-46.222,1
0.28,-45.911,1
0.29,-45.614,1
0.3,-45.33,1
0.31,-45.058,1
0.32,-44.796,1
0.33,-44.544,1
0.34,-44.301,1
0.35,-44.066,1
0.36,-43.838,1
0.37,-43.618,1
0.38,-43.403,1
0.39,-43.195,1
