Mid_Current_nA,InputResistance_GOhm
-0.095,0.095
-0.08499999999999999,0.102
-0.07500000000000001,0.11
-0.065,0.118
-0.055,0.128
-0.045,0.139
-0.035,0.151
-0.025,0.164
-0.015,0.175
-0.005,0.182
0.005,0.184
0.015,0.18
0.025,0.17
0.035,0.159
0.045,0.147
0.055,0.136
0.065,0.126
0.07500000000000001,0.118
0.08499999999999999,0.111
0.095,0.105
0.10500000000000001,0.1
0.11499999999999999,0.095
0.125,0.091
0.135,0.088
0.14500000000000002,0.084
0.155,0.081
0.165,0.077
0.175,0.074
0.185,0.07
0.195,0.067
0.20500000000000002,0.063
0.215,0.06
0.225,0.056
0.235,0.053
0.245,0.05
0.255,0.048
0.265,0.045
0.275,0.043
0.28500000000000003,0.041
