Stimulus_nA,SteadyStateVoltage_mV,AP_count
-0.1,-86.927,0
-0.09,-85.878,0
-0.08,-84.77,0
-0.07,-83.598,0
-0.06,-82.356,0
-0.05,-81.039,0
-0.04,-79.644,0
-0.03,-78.173,0
-0.02,-76.634,0
-0.01,-75.044,0
-0.0,-73.43,0
0.01,-71.823,0
0.02,-70.251,0
0.03,-68.738,0
0.04,-67.299,0
0.05,-65.938,0
0.06,-64.655,0
0.07,-63.445,0
0.08,-62.302,0
0.09,-61.22,0
0.1,-60.192,0
0.11,-59.212,0
0.12,-58.276,0
0.13,-57.38,0
0.14,-56.52,0
0.15,-55.695,0
0.16,-54.904,0
0.17,-54.146,0
0.18,-53.421,0
0.19,-52.729,0
0.2,-52.069,0
0.21,-51.443,0
0.22,-50.848,1
0.23,-50.286,1
0.24,-49.752,1
0.25,-49.248,1
0.26,-48.77,1
0.27,-48.318,1
0.28,-47.889,1
0.29,-47.482,1
