Mid_Current_nA,InputResistance_GOhm
-0.095,0.097
-0.08499999999999999,0.102
-0.07500000000000001,0.109
-0.065,0.117
-0.055,0.126
-0.045,0.136
-0.035,0.148
-0.025,0.162
-0.015,0.177
-0.005,0.193
0.005,0.21
0.015,0.225
0.025,0.237
0.035,0.245
0.045,0.25
0.055,0.256
0.065,0.267
0.07500000000000001,0.288
0.08499999999999999,0.315
0.095,0.306
0.10500000000000001,0.03
0.11499999999999999,-0.166
0.125,-0.053
0.135,0.128
0.14500000000000002,0.052
0.155,0.189
0.165,0.057
0.175,0.072
0.185,0.109
0.195,0.067
0.20500000000000002,0.054
0.215,0.179
0.225,0.067
0.235,0.102
