Stimulus_nA,SteadyStateVoltage_mV,AP_count
-0.1,-88.069,0
-0.09,-87.103,0
-0.08,-86.078,0
-0.07,-84.986,0
-0.06,-83.817,0
-0.05,-82.56,0
-0.04,-81.199,0
-0.03,-79.721,0
-0.02,-78.105,0
-0.01,-76.335,0
-0.0,-74.4,0
0.01,-72.297,0
0.02,-70.045,0
0.03,-67.677,0
0.04,-65.231,0
0.05,-62.731,0
0.06,-60.17,0
0.07,-57.5,0
0.08,-54.625,0
0.09,-51.478,0
0.1,-48.421,0
0.11,-48.121,5
0.12,-49.78,44
0.13,-50.312,50
0.14,-49.036,54
0.15,-48.511,58
0.16,-46.621,62
0.17,-46.051,65
0.18,-45.332,68
0.19,-44.246,70
0.2,-43.578,73
0.21,-43.037,75
0.22,-41.244,76
0.23,-40.577,78
0.24,-39.556,79
