Mid_Current_nA,InputResistance_GOhm
-0.095,0.129
-0.08499999999999999,0.139
-0.07500000000000001,0.152
-0.065,0.168
-0.055,0.189
-0.045,0.215
-0.035,0.248
-0.025,0.289
-0.015,0.338
-0.005,0.386
0.005,0.428
0.015,0.498
0.025,0.736
0.035,-0.166
0.045,0.19
0.055,0.03
0.065,0.091
0.07500000000000001,0.044
0.08499999999999999,0.152
0.095,0.17
0.10500000000000001,0.164
0.11499999999999999,0.138
0.125,0.092
0.135,0.194
0.14500000000000002,0.22
0.155,0.105
0.165,0.211
0.175,0.184
0.185,0.205
0.195,0.035
0.20500000000000002,0.037
0.215,0.036
0.225,0.035
0.235,0.034
