Stimulus_nA,SteadyStateVoltage_mV,AP_count
-0.1,-91.8,0
-0.09,-90.549,0
-0.08,-89.226,0
-0.07,-87.818,0
-0.06,-86.313,0
-0.05,-84.694,0
-0.04,-82.946,0
-0.03,-81.051,0
-0.02,-79.001,0
-0.01,-76.799,0
-0.0,-74.473,0
0.01,-72.077,0
0.02,-69.684,0
0.03,-67.36,0
0.04,-65.15,0
0.05,-63.071,0
0.06,-61.117,0
0.07,-59.275,0
0.08,-57.527,0
0.09,-55.859,0
0.1,-54.263,0
0.11,-52.744,0
0.12,-51.315,0
0.13,-49.994,2
0.14,-51.173,44
0.15,-49.422,50
0.16,-49.684,55
0.17,-48.736,59
0.18,-48.593,62
0.19,-47.609,65
0.2,-47.055,68
0.21,-46.658,71
0.22,-45.325,73
0.23,-44.841,75
0.24,-44.352,77
