Mid_Current_nA,InputResistance_GOhm
-0.095,0.089
-0.08499999999999999,0.095
-0.07500000000000001,0.102
-0.065,0.11
-0.055,0.12
-0.045,0.13
-0.035,0.142
-0.025,0.156
-0.015,0.17
-0.005,0.184
0.005,0.195
0.015,0.199
0.025,0.196
0.035,0.187
0.045,0.175
0.055,0.163
0.065,0.152
0.07500000000000001,0.142
0.08499999999999999,0.133
0.095,0.125
0.10500000000000001,0.118
0.11499999999999999,0.112
0.125,0.106
0.135,0.1
0.14500000000000002,0.094
0.155,0.089
0.165,0.083
0.175,0.078
0.185,0.073
0.195,0.068
0.20500000000000002,0.064
