Stimulus_nA,SteadyStateVoltage_mV,AP_count
-0.1,-77.407,0
-0.09,-76.627,0
-0.08,-75.8,0
-0.07,-74.924,0
-0.06,-73.992,0
-0.05,-73.001,0
-0.04,-71.946,0
-0.03,-70.825,0
-0.02,-69.638,0
-0.01,-68.387,0
-0.0,-67.08,0
0.01,-65.729,0
0.02,-64.349,0
0.03,-62.955,0
0.04,-61.564,0
0.05,-60.19,0
0.06,-58.845,0
0.07,-57.543,0
0.08,-56.292,0
0.09,-55.104,0
0.1,-53.988,0
0.11,-52.949,0
0.12,-51.99,0
0.13,-51.11,0
0.14,-50.303,0
0.15,-49.563,0
0.16,-48.882,1
0.17,-48.256,1
0.18,-47.677,1
0.19,-47.138,1
0.2,-46.635,1
0.21,-46.164,1
0.22,-45.72,1
0.23,-45.301,1
0.24,-44.903,1
0.25,-44.526,1
0.26,-44.165,1
0.27,-43.82,1
0.28,-43.489,1
0.29,-43.171,1
0.3,-42.865,1
0.31,-42.569,1
0.32,-42.283,1
0.33,-42.006,1
0.34,-41.737,1
0.35,-41.476,1
0.36,-41.222,1
0.37,-40.974,1
0.38,-40.733,1
0.39,-40.498,1
0.4,-40.267,1
0.41,-40.042,1
0.42,-39.821,1
0.43,-39.605,1
0.44,-39.393,1
0.45,-39.185,1
0.46,-38.981,1
0.47,-38.78,1
0.48,-38.583,1
0.49,-38.389,1
