Mid_Current_nA,InputResistance_GOhm
-0.095,0.108
-0.08499999999999999,0.116
-0.07500000000000001,0.124
-0.065,0.132
-0.055,0.142
-0.045,0.152
-0.035,0.163
-0.025,0.173
-0.015,0.182
-0.005,0.189
0.005,0.192
0.015,0.194
0.025,0.193
0.035,0.191
0.045,0.188
0.055,0.184
0.065,0.177
0.07500000000000001,0.166
0.08499999999999999,0.152
0.095,0.135
0.10500000000000001,0.118
0.11499999999999999,0.102
0.125,0.09
0.135,0.079
0.14500000000000002,0.071
0.155,0.064
0.165,0.058
0.175,0.054
0.185,0.05
0.195,0.047
0.20500000000000002,0.044
0.215,0.041
0.225,0.039
0.235,0.037
0.245,0.036
0.255,0.034
0.265,0.033
0.275,0.032
0.28500000000000003,0.031
0.295,0.03
0.305,0.029
0.315,0.028
0.325,0.027
0.335,0.026
0.345,0.026
0.355,0.025
0.365,0.024
0.375,0.024
0.385,0.023
0.395,0.023
0.405,0.023
0.415,0.022
0.425,0.022
0.435,0.022
0.445,0.021
0.455,0.021
0.46499999999999997,0.02
0.475,0.02
0.485,0.02
