Mid_Current_nA,InputResistance_GOhm
-0.095,0.08
-0.08499999999999999,0.086
-0.07500000000000001,0.092
-0.065,0.1
-0.055,0.109
-0.045,0.119
-0.035,0.129
-0.025,0.139
-0.015,0.149
-0.005,0.156
0.005,0.161
0.015,0.161
0.025,0.158
0.035,0.152
0.045,0.144
0.055,0.136
0.065,0.129
0.07500000000000001,0.121
0.08499999999999999,0.114
0.095,0.107
0.10500000000000001,0.1
0.11499999999999999,0.093
0.125,0.087
0.135,0.08
0.14500000000000002,0.075
0.155,0.069
0.165,0.065
0.175,0.06
0.185,0.056
0.195,0.053
0.20500000000000002,0.05
0.215,0.047
0.225,0.045
0.235,0.043
