Stimulus_nA,SteadyStateVoltage_mV,AP_count
-0.1,-76.831,0
-0.09,-76.036,0
-0.08,-75.179,0
-0.07,-74.254,0
-0.06,-73.251,0
-0.05,-72.16,0
-0.04,-70.973,0
-0.03,-69.685,0
-0.02,-68.295,0
-0.01,-66.809,0
-0.0,-65.245,0
0.01,-63.634,0
0.02,-62.02,0
0.03,-60.443,0
0.04,-58.927,0
0.05,-57.486,0
0.06,-56.122,0
0.07,-54.834,0
0.08,-53.62,0
0.09,-52.477,0
0.1,-51.405,0
0.11,-50.403,0
0.12,-49.469,1
0.13,-48.6,1
0.14,-47.795,1
0.15,-47.047,1
0.16,-46.352,1
0.17,-45.705,1
0.18,-45.101,1
0.19,-44.536,1
0.2,-44.005,1
0.21,-43.504,1
0.22,-43.031,1
0.23,-42.582,1
0.24,-42.154,1
