Mid_Current_nA,InputResistance_GOhm
-0.095,0.115
-0.08499999999999999,0.121
-0.07500000000000001,0.127
-0.065,0.133
-0.055,0.14
-0.045,0.147
-0.035,0.153
-0.025,0.158
-0.015,0.161
-0.005,0.161
0.005,0.159
0.015,0.154
0.025,0.147
0.035,0.14
0.045,0.131
0.055,0.123
0.065,0.115
0.07500000000000001,0.108
0.08499999999999999,0.101
0.095,0.095
0.10500000000000001,0.09
0.11499999999999999,0.085
0.125,0.08
0.135,0.076
0.14500000000000002,0.072
0.155,0.068
0.165,0.065
0.175,0.062
0.185,0.059
0.195,0.056
0.20500000000000002,0.053
0.215,0.051
0.225,0.049
0.235,0.046
0.245,0.044
0.255,0.042
0.265,0.041
0.275,0.039
0.28500000000000003,0.037
0.295,0.036
0.305,0.034
0.315,0.033
0.325,0.032
0.335,0.031
0.345,0.03
0.355,0.029
0.365,0.028
0.375,0.027
0.385,0.026
0.395,0.025
0.405,0.024
0.415,0.024
0.425,0.023
0.435,0.022
0.445,0.022
0.455,0.021
0.46499999999999997,0.021
0.475,0.02
0.485,0.02
