Stimulus_nA,SteadyStateVoltage_mV,AP_count
-0.1,-88.463,0
-0.09,-87.31,0
-0.08,-86.101,0
-0.07,-84.829,0
-0.06,-83.489,0
-0.05,-82.08,0
-0.04,-80.6,0
-0.03,-79.055,0
-0.02,-77.454,0
-0.01,-75.817,0
-0.0,-74.168,0
0.01,-72.533,0
0.02,-70.938,0
0.03,-69.402,0
0.04,-67.94,0
0.05,-66.556,0
0.06,-65.252,0
0.07,-64.025,0
0.08,-62.871,0
0.09,-61.784,0
0.1,-60.759,0
0.11,-59.792,0
0.12,-58.877,0
0.13,-58.012,0
0.14,-57.193,0
0.15,-56.418,0
0.16,-55.683,0
0.17,-54.987,0
0.18,-54.329,0
0.19,-53.705,0
0.2,-53.115,0
0.21,-52.556,0
0.22,-52.025,0
0.23,-51.524,0
0.24,-51.047,1
0.25,-50.595,1
0.26,-50.164,1
0.27,-49.755,1
0.28,-49.364,1
0.29,-48.991,1
0.3,-48.635,1
0.31,-48.294,1
0.32,-47.966,1
0.33,-47.653,1
0.34,-47.351,1
0.35,-47.059,1
0.36,-46.779,2
0.37,-46.508,2
0.38,-46.247,2
0.39,-45.993,2
0.4,-45.748,2
0.41,-45.51,2
0.42,-45.279,2
0.43,-45.054,2
0.44,-44.835,2
0.45,-44.623,2
0.46,-44.415,2
0.47,-44.213,2
0.48,-44.015,2
0.49,-43.822,2
