Stimulus_nA,SteadyStateVoltage_mV,AP_count
-0.1,-83.372,0
-0.09,-82.461,0
-0.08,-81.495,0
-0.07,-80.467,0
-0.06,-79.372,0
-0.05,-78.207,0
-0.04,-76.967,0
-0.03,-75.655,0
-0.02,-74.277,0
-0.01,-72.848,0
-0.0,-71.395,0
0.01,-69.946,0
0.02,-68.532,0
0.03,-67.173,0
0.04,-65.883,0
0.05,-64.665,0
0.06,-63.517,0
0.07,-62.437,0
0.08,-61.416,0
0.09,-60.449,0
0.1,-59.53,0
0.11,-58.653,0
0.12,-57.813,0
0.13,-57.007,0
0.14,-56.231,0
0.15,-55.482,0
0.16,-54.759,0
0.17,-54.059,0
0.18,-53.384,0
0.19,-52.73,0
0.2,-52.099,0
0.21,-51.492,0
0.22,-50.906,0
0.23,-50.344,0
0.24,-49.804,1
0.25,-49.287,1
0.26,-48.792,1
0.27,-48.32,1
0.28,-47.868,1
0.29,-47.437,1
