Mid_Current_nA,InputResistance_GOhm
-0.095,0.086
-0.08499999999999999,0.092
-0.07500000000000001,0.098
-0.065,0.106
-0.055,0.114
-0.045,0.124
-0.035,0.135
-0.025,0.147
-0.015,0.159
-0.005,0.17
0.005,0.178
0.015,0.181
0.025,0.177
0.035,0.169
0.045,0.158
0.055,0.147
0.065,0.136
0.07500000000000001,0.126
0.08499999999999999,0.118
0.095,0.11
0.10500000000000001,0.103
0.11499999999999999,0.097
0.125,0.091
0.135,0.086
0.14500000000000002,0.081
0.155,0.076
0.165,0.072
0.175,0.068
0.185,0.064
0.195,0.06
0.20500000000000002,0.057
0.215,0.053
0.225,0.051
0.235,0.048
0.245,0.045
0.255,0.043
0.265,0.041
0.275,0.039
0.28500000000000003,0.037
0.295,0.036
0.305,0.034
0.315,0.033
0.325,0.032
0.335,0.031
0.345,0.029
0.355,0.029
0.365,0.028
0.375,0.027
0.385,0.026
0.395,0.025
0.405,0.024
0.415,0.024
0.425,0.023
0.435,0.023
0.445,0.022
0.455,0.022
0.46499999999999997,0.021
0.475,0.021
0.485,0.02
