Mid_Current_nA,InputResistance_GOhm
-0.095,0.108
-0.08499999999999999,0.117
-0.07500000000000001,0.127
-0.065,0.139
-0.055,0.153
-0.045,0.17
-0.035,0.191
-0.025,0.214
-0.015,0.24
-0.005,0.266
0.005,0.291
0.015,0.314
0.025,0.347
0.035,0.39
0.045,0.367
0.055,-0.603
0.065,-0.002
0.07500000000000001,0.087
0.08499999999999999,0.048
0.095,-0.07
0.10500000000000001,0.108
0.11499999999999999,0.108
0.125,-0.026
0.135,0.016
0.14500000000000002,0.117
0.155,0.029
0.165,0.055
0.175,0.122
0.185,0.015
0.195,0.043
0.20500000000000002,0.087
0.215,0.102
0.225,0.062
0.235,0.002
0.245,0.069
0.255,0.068
0.265,0.059
0.275,0.07
0.28500000000000003,0.06
0.295,0.108
0.305,0.073
0.315,0.052
0.325,0.05
0.335,0.087
0.345,0.117
0.355,0.086
0.365,0.083
0.375,0.369
0.385,0.02
0.395,0.02
0.405,0.02
0.415,0.019
0.425,0.019
0.435,0.019
0.445,0.019
0.455,0.018
0.46499999999999997,0.018
0.475,0.018
0.485,0.017
