Stimulus_nA,SteadyStateVoltage_mV,AP_count
-0.1,-85.689,0
-0.09,-84.613,0
-0.08,-83.453,0
-0.07,-82.194,0
-0.06,-80.821,0
-0.05,-79.315,0
-0.04,-77.655,0
-0.03,-75.825,0
-0.02,-73.816,0
-0.01,-71.644,0
-0.0,-69.364,0
0.01,-67.059,0
0.02,-64.811,0
0.03,-62.668,0
0.04,-60.651,0
0.05,-58.765,0
0.06,-57.013,0
0.07,-55.403,0
0.08,-53.938,0
0.09,-52.626,0
0.1,-51.46,0
0.11,-50.429,0
0.12,-53.95,52
0.13,-52.56,58
0.14,-53.319,62
0.15,-52.307,66
0.16,-52.441,70
0.17,-51.294,73
0.18,-51.075,76
0.19,-50.156,78
0.2,-50.012,81
0.21,-49.0,83
0.22,-48.335,85
0.23,-47.941,87
0.24,-46.766,89
0.25,-46.267,90
0.26,-45.722,91
0.27,-45.23,92
0.28,-43.726,93
0.29,-43.366,93
0.3,-42.336,93
0.31,-41.099,20
0.32,-40.839,10
0.33,-40.586,7
0.34,-40.34,6
0.35,-40.101,5
0.36,-39.868,5
0.37,-39.641,4
0.38,-39.42,4
0.39,-39.203,3
0.4,-38.991,3
0.41,-38.783,3
0.42,-38.58,3
0.43,-38.38,2
0.44,-38.185,2
0.45,-37.992,2
0.46,-37.804,2
0.47,-37.618,2
0.48,-37.436,2
0.49,-37.256,2
