Time,Voltage,Raw_Voltage
0,-77.3372,-77.2743
0.00002,-77.338,-77.3681
0.00004,-77.3402,-77.3681
0.00006,-77.3439,-77.3056
0.00008,-77.3487,-77.3368
0.0001,-77.3543,-77.3368
0.00012,-77.3604,-77.3368
0.00014,-77.3668,-77.462
0.00016,-77.3732,-77.3994
0.00018,-77.3794,-77.3368
0.0002,-77.3852,-77.3994
0.00022,-77.3904,-77.3681
0.00024,-77.3951,-77.3994
0.00026,-77.3992,-77.3368
0.00028,-77.4029,-77.4307
0.0003,-77.406,-77.4307
0.00032,-77.4087,-77.4307
0.00034,-77.4108,-77.3994
0.00036,-77.4123,-77.3994
0.00038,-77.4131,-77.462
0.0004,-77.413,-77.3994
0.00042,-77.4119,-77.3368
0.00044,-77.4096,-77.3994
0.00046,-77.406,-77.3994
0.00048,-77.4011,-77.462
0.0005,-77.395,-77.3681
0.00052,-77.3877,-77.462
0.00054,-77.3797,-77.3681
0.00056,-77.3714,-77.3368
0.00058,-77.3632,-77.3994
0.0006,-77.3557,-77.3056
0.00062,-77.3495,-77.3056
0.00064,-77.345,-77.3681
0.00066,-77.3425,-77.4307
0.00068,-77.3424,-77.3681
0.0007,-77.3444,-77.2743
0.00072,-77.3486,-77.2743
0.00074,-77.3545,-77.3994
0.00076,-77.3616,-77.3368
0.00078,-77.3693,-77.3681
0.0008,-77.3769,-77.3681
0.00082,-77.3839,-77.4307
0.00084,-77.3898,-77.462
0.00086,-77.3942,-77.3994
0.00088,-77.397,-77.3368
0.0009,-77.3981,-77.3994
0.00092,-77.3978,-77.3368
0.00094,-77.3963,-77.3681
0.00096,-77.3941,-77.4307
0.00098,-77.3916,-77.4307
0.001,-77.3892,-77.462
0.00102,-77.387,-77.4307
0.00104,-77.3853,-77.3681
0.00106,-77.3841,-77.2743
0.00108,-77.3832,-77.3368
0.0011,-77.3824,-77.3368
0.00112,-77.3815,-77.3681
0.00114,-77.3802,-77.3681
0.00116,-77.3784,-77.4933
0.00118,-77.3761,-77.4307
0.0012,-77.3732,-77.4307
0.00122,-77.3702,-77.3681
