Stimulus (pA),Latency to Threshold (ms),Latency to Peak (ms)
-100,,
-80,,
-60,,
-40,,
-20,,
0,,
20,,
40,,
60,,
80,,
100,,
120,3.1799999999510913,3.519999999950784
140,2.25999999995193,2.5999999999516206
160,1.7999999999523482,2.1599999999520207
180,1.4999999999526192,1.8599999999522936
200,1.2999999999528047,1.6599999999524755
220,1.1199999999529684,1.4999999999526192
240,0.9999999999530758,1.3799999999527301
260,0.8799999999531831,1.2799999999528193
280,0.7799999999532758,1.179999999952912
300,0.6999999999533486,1.1199999999529684
320,0.5999999999534396,1.0599999999530194
340,0.5199999999535123,0.9999999999530758
360,0.5199999999535123,0.9599999999531121
380,0.5199999999535123,0.9199999999531485
