Stimulus (pA),Latency to Threshold (ms),Latency to Peak (ms)
-100,,
-80,,
-60,,
-40,,
-20,,
0,,
20,,
40,,
60,,
80,,
100,22.439999999933576,22.739999999933303
120,4.519999999949874,4.8199999999496
140,2.9599999999512914,3.2399999999510385
160,2.2799999999519116,2.5799999999516405
180,1.8599999999522936,2.1799999999520043
200,1.5799999999525483,1.8999999999522554
220,1.3799999999527301,1.6999999999524409
240,1.2199999999528757,1.5399999999525846
260,1.0799999999530048,1.4199999999526938
280,0.979999999953094,1.3199999999527847
300,0.8799999999531831,1.2199999999528757
320,0.7799999999532758,1.1599999999529302
340,0.6999999999533486,1.0999999999529848
360,0.6199999999534196,1.0399999999530394
380,0.5199999999535123,0.979999999953094
