Stimulus (pA),Latency to Threshold (ms),Latency to Peak (ms)
-100,,
-80,,
-60,,
-40,,
-20,,
0,,
20,,
40,,
60,,
80,,
100,,
120,,
140,3.5399999999507656,3.839999999950493
160,2.3999999999518025,2.7199999999515114
180,1.9199999999522408,2.219999999951966
200,1.59999999995253,1.9199999999522408
220,1.3799999999527301,1.6999999999524409
240,1.1999999999528939,1.5399999999525846
260,1.0599999999530194,1.4199999999526938
280,0.9399999999531303,1.2999999999528047
300,0.8399999999532195,1.2199999999528757
320,0.7399999999533122,1.1399999999529484
340,0.6399999999534032,1.0799999999530048
360,0.5199999999535123,1.0199999999530576
380,0.5199999999535123,0.979999999953094
