Stimulus (pA),Latency to Threshold (ms),Latency to Peak (ms)
-100,,
-80,,
-60,,
-40,,
-20,,
0,,
20,,
40,,
60,,
80,,
100,,
120,,
140,,
160,,
180,,
200,,
220,2.8999999999513477,3.1799999999510913
240,1.9599999999522044,2.239999999951948
260,1.59999999995253,1.8999999999522554
280,1.3799999999527301,1.6799999999524555
300,1.1999999999528939,1.5199999999526046
320,1.0599999999530194,1.3799999999527301
340,0.9599999999531121,1.2799999999528193
360,0.8599999999532049,1.1999999999528939
380,0.759999999953294,1.1399999999529484
