Variable,Test,p-value,Group 1,Group 2,Normality iMNTB p,Normality TeNT p,Used parametric test
gLeak,t-test,0.12774351272768592,iMNTB,TeNT,0.5020947488773737,0.6817501993944518,True
gNa,t-test,0.4943793954863352,iMNTB,TeNT,0.26701886576441036,0.8013023691969378,True
gKHT,t-test,0.014532206841204804,iMNTB,TeNT,0.5813231101652545,0.09530822629612386,True
gKLT,M-W U,0.007936507936507936,iMNTB,TeNT,0.950940144407016,0.026736015333178296,False
gIH,t-test,0.5063231549417382,iMNTB,TeNT,0.36016211719421476,0.6183746575303184,True
gKA,t-test,0.0011971941206036162,iMNTB,TeNT,0.5573050206277299,0.8109047906883539,True
ELeak,M-W U,0.011159425282914753,iMNTB,TeNT,0.0660318871559948,0.00047518107195971675,False
cam,t-test,0.309392116910915,iMNTB,TeNT,0.13825084846158894,0.4310158854944646,True
kam,M-W U,0.09295731572744009,iMNTB,TeNT,0.00013097817774592886,0.00013097817774592862,False
cbm,t-test,0.9611329433168676,iMNTB,TeNT,0.4697484421702792,0.26702132821480434,True
kbm,M-W U,0.14610046596342235,iMNTB,TeNT,0.0064700006444855206,0.3140395561440383,False
