time_ms,exp_voltage_mV,sim_voltage_mV
107.44000000000001,-52.68416358543765,-53.60208594357779
107.46000000000001,-52.6528784526672,-53.602080718560664
107.48,-52.621593319896746,-53.602075538713386
107.50000000000001,-52.7154487182081,-53.60207040399124
107.52000000000001,-52.6528784526672,-53.60206531434955
107.54,-52.621593319896746,-53.60206026974368
107.56,-52.80930411651945,-53.60205527012902
107.58000000000001,-52.74673385097855,-53.60205031546101
107.60000000000001,-52.590308187126304,-53.60204540569511
107.62,-52.55902305435585,-53.60204054078683
107.64000000000001,-52.49645278881495,-53.602035720691724
107.66000000000001,-52.46516765604451,-53.60203094536537
107.68,-52.527737921585405,-53.6020262147634
107.7,-52.527737921585405,-53.60202152884144
107.72000000000001,-52.402597390503594,-53.6020168875552
107.74000000000001,-52.340027124962695,-53.602012290860415
107.76,-52.340027124962695,-53.60200773871284
107.78000000000002,-52.2148865938809,-53.60200323106829
107.80000000000001,-52.15231632834,-53.6019987678826
107.82000000000001,-52.12103119556955,-53.60199434911164
107.84,-52.30874199219225,-53.60198997471134
107.86000000000001,-52.18360146111045,-53.60198564463763
107.88000000000001,-52.2148865938809,-53.601981358846515
107.9,-51.99589066448775,-53.60197711729401
107.92,-51.870750133405956,-53.60197291993618
107.94000000000001,-52.0271757972582,-53.601968766729115
107.96000000000001,-51.9020352661764,-53.601964657628955
107.98,-51.9020352661764,-53.601960592591865
108.00000000000001,-51.99589066448775,-53.60195657157406
108.02000000000001,-52.0271757972582,-53.601952594531774
108.04,-51.9646055317173,-53.60194866142129
108.06,-51.9020352661764,-53.60194477219893
108.08000000000001,-51.9646055317173,-53.60194092682104
108.10000000000001,-51.80817986786505,-53.60193712524401
108.12,-51.870750133405956,-53.60193336742426
108.14000000000001,-51.9020352661764,-53.60192965331826
108.16000000000001,-51.80817986786505,-53.601925982882506
108.18,-51.68303933678325,-53.60192235607353
108.2,-51.7143244695537,-53.6019187728479
108.22000000000001,-51.80817986786505,-53.60191523316223
108.24000000000001,-51.7768947350946,-53.60191173697316
108.26,-51.620469071242354,-53.60190828423736
108.28000000000002,-51.49532854016056,-53.601904874911554
108.30000000000001,-51.6517542040128,-53.60190150895249
108.32000000000001,-51.7768947350946,-53.60189818631695
108.34,-51.6517542040128,-53.60189490696177
108.36000000000001,-51.7143244695537,-53.6018916708438
108.38000000000001,-51.7143244695537,-53.601888477919935
108.4,-51.7143244695537,-53.60188532814711
108.42,-51.620469071242354,-53.6018822214823
108.44000000000001,-51.526613672931,-53.60187915788249
108.46000000000001,-51.5891839384719,-53.601876137304735
108.48,-51.557898805701456,-53.6018731597061
108.50000000000001,-51.557898805701456,-53.6018702250437
108.52000000000001,-51.5891839384719,-53.601867333274676
108.54,-51.620469071242354,-53.60186448435621
108.56,-51.526613672931,-53.601861678245534
108.58000000000001,-51.526613672931,-53.601858914899886
108.60000000000001,-51.4640434073901,-53.60185619427656
108.62,-51.526613672931,-53.60185351633288
108.64000000000001,-51.4640434073901,-53.601850881026216
108.66000000000001,-51.43275827461966,-53.60184828831395
108.68,-51.5891839384719,-53.60184573815352
108.7,-51.557898805701456,-53.601843230502396
108.72000000000001,-51.6517542040128,-53.60184076531807
108.74000000000001,-51.620469071242354,-53.601838342558096
108.76,-51.526613672931,-53.60183596218004
108.78000000000002,-51.557898805701456,-53.601833624141506
108.80000000000001,-51.4640434073901,-53.601831328400145
108.82000000000001,-51.4640434073901,-53.60182907491364
108.84,-51.4640434073901,-53.6018268636397
108.86000000000001,-51.43275827461966,-53.60182469453608
108.88000000000001,-51.49532854016056,-53.60182256756056
108.9,-51.4640434073901,-53.60182048267097
108.92,-51.526613672931,-53.601818439825166
108.94000000000001,-51.4014731418492,-53.60181643898103
108.96000000000002,-51.43275827461966,-53.6018144800965
108.98,-51.3389028763083,-53.60181256312953
109.00000000000001,-51.276332610767405,-53.60181068803812
109.02000000000001,-51.4014731418492,-53.60180885478031
109.04,-51.276332610767405,-53.601807063314155
109.06,-51.1511920796856,-53.601805313597765
109.08000000000001,-51.05733668137426,-53.601803605589275
109.10000000000001,-51.05733668137426,-53.601801939246855
109.12,-50.900911017522006,-53.60180031452872
109.14000000000001,-50.86962588475155,-53.60179873139311
109.16000000000001,-50.80705561921065,-53.6017971897983
109.18,-50.963481283062904,-53.6017956897026
109.2,-50.86962588475155,-53.60179423106436
109.22000000000001,-50.650629955358404,-53.60179281384197
109.24000000000001,-50.588059689817506,-53.60179143799383
109.26,-50.556774557047056,-53.60179010347841
109.28,-50.43163402596525,-53.60178881025418
109.30000000000001,-50.43163402596525,-53.60178755827967
109.32000000000001,-50.49420429150615,-53.60178634751343
109.34,-50.49420429150615,-53.60178517791407
109.36000000000001,-50.43163402596525,-53.60178404944019
109.38000000000001,-50.21263809657211,-53.601782962050464
109.4,-50.36906376042435,-53.60178191570358
109.42,-50.43163402596525,-53.60178091035828
109.44000000000001,-50.43163402596525,-53.60177994597331
109.46000000000002,-50.43163402596525,-53.60177902250748
109.48,-50.306493494883455,-53.60177813991962
109.50000000000001,-50.243923229342556,-53.60177729816859
109.52000000000001,-50.15006783103121,-53.6017764972133
109.54,-50.243923229342556,-53.60177573701269
109.56,-50.43163402596525,-53.60177501752572
109.58000000000001,-50.243923229342556,-53.601774338711394
109.60000000000001,-50.18135296380166,-53.60177370052876
109.62,-50.21263809657211,-53.60177310293689
109.64000000000001,-50.02492729994941,-53.60177254589489
109.66000000000001,-49.96235703440851,-53.6017720293619
109.68,-49.86850163609716,-53.6017715532971
109.7,-49.74336110501536,-53.601771117659695
109.72000000000001,-49.83721650332671,-53.60177072240893
109.74000000000001,-49.86850163609716,-53.60177036750409
109.76,-49.83721650332671,-53.60177005290448
109.78,-49.71207597224491,-53.601769778569455
109.80000000000001,-49.64950570670401,-53.60176954445839
109.82000000000002,-49.618220573933556,-53.60176935053071
109.84,-49.55565030839266,-53.60176919674585
109.86000000000001,-49.49308004285176,-53.6017690830633
109.88000000000001,-49.4617949100813,-53.60176900944258
109.9,-49.36793951176996,-53.601768975843235
109.92,-49.43050977731086,-53.601768982224854
109.94000000000001,-49.30536924622906,-53.601769028547054
109.96000000000001,-49.08637331683591,-53.60176911476949
109.98,-49.08637331683591,-53.601769240851844
110.00000000000001,-49.08637331683591,-53.601769406753846
110.02000000000001,-48.929947652983664,-53.60176961243524
110.04,-49.05508818406546,-53.60176985785582
110.06,-48.99251791852456,-53.601770142975404
110.08000000000001,-48.80480712190186,-53.60177046775385
110.10000000000001,-48.554526059738265,-53.60177083215105
110.12,-48.42938552865646,-53.601771236126915
110.14000000000001,-48.39810039588601,-53.60177167964141
110.16000000000001,-48.33553013034511,-53.60177216265453
110.18000000000002,-48.241674732033765,-53.60177268512629
110.2,-47.991393669870156,-53.60177324701675
110.22000000000001,-47.70982747493611,-53.601773848286
110.24000000000001,-47.647257209395214,-53.601774488894165
110.26,-47.52211667831342,-53.6017751688014
110.28,-47.271835616149815,-53.601775887967904
110.30000000000001,-47.14669508506802,-53.60177664635389
110.32000000000002,-46.990269421215764,-53.60177744391962
110.34,-46.80255862459307,-53.601778280625396
110.36000000000001,-46.583562695199916,-53.60177915643153
110.38000000000001,-46.20814110195452,-53.601780071298386
110.4,-45.86400464147957,-53.601781025186355
110.42,-45.551153313775075,-53.60178201805586
110.44000000000001,-44.92545065836607,-53.60178304986735
110.46000000000001,-43.79918587862988,-53.60178412058133
110.48,-41.890792779632434,-53.60178523015832
110.50000000000001,-38.136576847178446,-53.60178637855888
110.52000000000001,-32.286257019104305,-53.60178756574359
110.54,-25.71637913730983,-53.60178879167309
110.56,-19.271641786597144,-53.60179005630802
110.58000000000001,-12.326342311557266,-53.601791359609074
110.60000000000001,-3.941926729076689,-53.60179270153698
110.62,5.8503198280741335,-53.60179408205249
110.64,14.704012402111458,-53.6017955011164
110.66000000000001,20.52304709741514,-53.60179695868952
110.68000000000002,23.057142851821585,-53.601798454732716
110.7,23.276138781214733,-53.601799989206874
110.72000000000001,22.368869930871686,-53.60180156207291
110.74000000000001,19.991199840317496,-53.60180317329177
110.76,16.268269040633953,-53.601804822824455
110.78,11.356503195673318,-53.601806510631974
110.80000000000001,5.162046907124235,-53.60180823667538
110.82000000000002,-1.5329715057520457,-53.60181000091577
110.84,-8.196704785857877,-53.60181180331425
110.86000000000001,-14.485016472718309,-53.60181364383197
110.88000000000001,-20.241480902481094,-53.60181552243011
110.9,-25.434812942375775,-53.60181743906989
110.92,-30.346578787336412,-53.60181939371256
110.94000000000001,-35.00806357013345,-53.6018213863194
110.96000000000001,-39.41926729076689,-53.60182341685172
110.98,-43.642760214777624,-53.60182548527087
111.00000000000001,-47.55340181108386,-53.601827591538225
111.02000000000001,-50.77577048644021,-53.6018297356152
111.04000000000002,-53.5288621702398,-53.60183191746323
111.06,-55.96910252633489,-53.601834137043795
111.08000000000001,-57.658499695939184,-53.601836394318404
111.10000000000001,-59.12890093615033,-53.601838689248595
111.12,-60.47416164527967,-53.60184102179595
111.14,-61.53785615947498,-53.60184339192206
111.16000000000001,-62.41383987704757,-53.601845799588574
111.18000000000002,-63.227253329079275,-53.60184824475716
111.2,-63.88424111725871,-53.60185072738951
111.22000000000001,-64.35351810881546,-53.60185324744737
111.24000000000001,-64.60379917097907,-53.601855804892516
111.26,-64.85408023314267,-53.601858399686726
111.28,-65.22950182638806,-53.60186103179184
111.30000000000001,-65.32335722469941,-53.60186370116972
111.32000000000001,-65.41721262301076,-53.60186640778226
111.34,-65.4484977557812,-53.601869151591394
111.36000000000001,-65.41721262301076,-53.60187193255908
111.38000000000001,-65.51106802132212,-53.601874750647305
111.40000000000002,-65.51106802132212,-53.601877605818096
111.42,-65.4484977557812,-53.60188049803351
111.44000000000001,-65.41721262301076,-53.60188342725563
111.46000000000001,-65.51106802132212,-53.60188639344658
111.48,-65.47978288855167,-53.6018893965685
111.50000000000001,-65.57363828686302,-53.60189243658359
111.52000000000001,-65.57363828686302,-53.60189551345406
111.54000000000002,-65.51106802132212,-53.601898627142155
111.56,-65.41721262301076,-53.60190177761015
111.58000000000001,-65.51106802132212,-53.60190496482037
111.60000000000001,-65.41721262301076,-53.601908188735145
111.62,-65.47978288855167,-53.60191144931685
111.64,-65.47978288855167,-53.601914746527896
111.66000000000001,-65.38592749024032,-53.60191808033072
111.68000000000002,-65.54235315409257,-53.60192145068779
111.7,-65.60492341963347,-53.601924857561606
111.72000000000001,-65.51106802132212,-53.6019283009147
111.74000000000001,-65.38592749024032,-53.60193178070964
111.76,-65.51106802132212,-53.601935296909026
111.78,-65.51106802132212,-53.601938849475474
111.80000000000001,-65.47978288855167,-53.60194243837166
111.82000000000001,-65.47978288855167,-53.601946063560256
111.84,-65.54235315409257,-53.60194972500399
111.86000000000001,-65.60492341963347,-53.60195342266562
111.88000000000001,-65.66749368517436,-53.601957156507936
111.90000000000002,-65.73006395071526,-53.601960926493746
111.92,-65.76134908348571,-53.6019647325859
111.94000000000001,-65.69877881794481,-53.60196857474727
111.96000000000001,-65.88648961456751,-53.60197245294077
111.98,-65.91777474733797,-53.60197636712935
112.0,-65.98034501287886,-53.60198031727598
112.02000000000001,-65.88648961456751,-53.60198430334366
112.04000000000002,-66.0742004111902,-53.60198832529544
112.06,-66.16805580950157,-53.60199238309436
112.08000000000001,-66.3244814733538,-53.60199647670354
112.10000000000001,-66.38705173889471,-53.60200060608611
112.12,-66.3244814733538,-53.602004771205216
112.14,-66.35576660612426,-53.60200897202406
112.16000000000001,-66.6373328010583,-53.60201320850586
112.18000000000002,-66.66861793382877,-53.602017480613874
112.2,-66.73118819936965,-53.60202178831138
112.22000000000001,-66.7624733321401,-53.6020261315617
112.24000000000001,-66.91889899599236,-53.60203051032818
112.26000000000002,-66.91889899599236,-53.60203492457419
112.28,-67.01275439430371,-53.60203937426316
112.30000000000001,-67.10660979261506,-53.6020438593585
112.32000000000001,-67.07532465984461,-53.60204837982371
112.34,-67.23175032369686,-53.60205293562227
112.36000000000001,-67.23175032369686,-53.60205752671773
112.38000000000001,-67.2630354564673,-53.60206215307363
112.40000000000002,-67.3881759875491,-53.60206681465358
112.42,-67.6384570497127,-53.60207151142121
112.44000000000001,-67.70102731525361,-53.60207624334016
112.46000000000001,-67.79488271356496,-53.60208101037412
112.48,-68.0138786429581,-53.60208581248681
112.5,-67.9513083774172,-53.60209064964199
112.52000000000001,-67.92002324464676,-53.60209552180342
112.54000000000002,-67.9513083774172,-53.60210042893492
112.56,-68.20158943958081,-53.60210537100032
112.58000000000001,-68.1390191740399,-53.602110347963496
112.60000000000001,-68.20158943958081,-53.60211535978835
112.62000000000002,-68.35801510343305,-53.602120406438814
112.64,-68.42058536897396,-53.602125487878844
112.66000000000001,-68.5770110328262,-53.602130604072435
112.68,-68.60829616559666,-53.602135754983614
112.7,-68.67086643113755,-53.60214094057643
112.72000000000001,-68.79600696221935,-53.602146160814975
112.74000000000001,-68.8898623605307,-53.60215141566335
112.76000000000002,-68.95243262607161,-53.602156705085704
112.78,-68.95243262607161,-53.60216202904621
112.80000000000001,-69.04628802438295,-53.602167387509084
112.82000000000001,-69.17142855546476,-53.60217278043855
112.84,-69.10885828992386,-53.60217820779888
112.86000000000001,-69.26528395377609,-53.602183669554364
112.88000000000001,-69.35913935208745,-53.60218916566934
112.90000000000002,-69.42170961762835,-53.60219469610815
112.92,-69.48427988316925,-53.60220026083519
112.94000000000001,-69.60942041425106,-53.60220585981488
112.96000000000001,-69.5781352814806,-53.60221149301166
112.98,-69.7658460781033,-53.602217160390005
113.0,-69.7658460781033,-53.60222286191443
113.02000000000001,-69.89098660918509,-53.60222859754946
113.04000000000002,-69.92227174195554,-53.60223436725968
113.06,-70.04741227303735,-53.60224017100968
113.08000000000001,-70.0161271402669,-53.602246008764084
113.10000000000001,-70.0161271402669,-53.60225188048755
113.12000000000002,-70.1412676713487,-53.60225778614477
113.14,-70.23512306966005,-53.60226372570045
113.16000000000001,-70.3289784679714,-53.602269699119354
113.18,-70.42283386628274,-53.60227570636624
113.2,-70.26640820243051,-53.60228174740593
113.22000000000001,-70.2038379368896,-53.60228782220326
113.24000000000001,-70.3289784679714,-53.602293930723086
113.26000000000002,-70.36026360074185,-53.60230007293031
113.28,-70.36026360074185,-53.602306248789866
113.30000000000001,-70.54797439736454,-53.6023124582667
113.32000000000001,-70.6418297956759,-53.60231870132581
113.34,-70.54797439736454,-53.60232497793219
113.36,-70.48540413182366,-53.602331288050905
113.38000000000001,-70.67311492844634,-53.60233763164702
113.40000000000002,-70.67311492844634,-53.60234400868564
113.42,-70.6418297956759,-53.6023504191319
113.44000000000001,-70.79825545952814,-53.60235686295097
113.46000000000001,-70.73568519398725,-53.602363340108035
113.48000000000002,-70.73568519398725,-53.602369850568316
113.5,-70.67311492844634,-53.60237639429707
113.52000000000001,-70.86082572506905,-53.60238297125958
113.54000000000002,-70.9546811233804,-53.60238958142115
113.56,-71.11110678723264,-53.602396224747125
113.58000000000001,-71.0172513889213,-53.60240290120288
113.60000000000001,-71.1423919200031,-53.60240961075381
113.62000000000002,-71.1423919200031,-53.60241635336534
113.64,-71.04853652169174,-53.602423129002936
113.66000000000001,-71.0798216544622,-53.60242993763208
113.68,-71.23624731831444,-53.60243677921829
113.7,-71.29881758385534,-53.60244365372711
113.72000000000001,-71.2675324510849,-53.602450561124115
113.74000000000001,-71.36138784939625,-53.602457501374914
113.76000000000002,-71.36138784939625,-53.60246447444514
113.78,-71.3926729821667,-53.60247148030046
113.80000000000001,-71.45524324770759,-53.60247851890655
113.82000000000001,-71.5803837787894,-53.60248559022914
113.84000000000002,-71.45524324770759,-53.602492694233995
113.86,-71.45524324770759,-53.60249983088688
113.88000000000001,-71.5803837787894,-53.6025070001536
113.90000000000002,-71.67423917710074,-53.602514202
113.92,-71.54909864601895,-53.602521436391946
113.94000000000001,-71.54909864601895,-53.602528703295334
113.96000000000001,-71.5803837787894,-53.60253600267608
113.98000000000002,-71.5803837787894,-53.602543334500155
114.0,-71.73680944264164,-53.60255069873352
114.02000000000001,-71.83066484095299,-53.60255809534221
114.04,-71.76809457541209,-53.60256552429225
114.06,-71.76809457541209,-53.60257298554971
114.08000000000001,-71.67423917710074,-53.6025804790807
114.10000000000001,-71.92452023926435,-53.602588004851334
114.12000000000002,-71.76809457541209,-53.60259556282777
114.14,-71.76809457541209,-53.60260315297621
114.16000000000001,-71.98709050480524,-53.60261077526283
114.18,-71.95580537203479,-53.6026184296539
114.2,-71.92452023926435,-53.60262611611569
114.22000000000001,-71.95580537203479,-53.60263383461449
114.24000000000001,-71.98709050480524,-53.60264158511663
114.26000000000002,-71.98709050480524,-53.60264936758848
114.28,-71.98709050480524,-53.602657181996406
114.30000000000001,-72.0183756375757,-53.60266502830684
114.32000000000001,-71.98709050480524,-53.602672906486205
114.34000000000002,-72.08094590311659,-53.60268081650099
114.36,-72.11223103588705,-53.60268875831769
114.38000000000001,-72.20608643419838,-53.60269673190283
114.40000000000002,-72.11223103588705,-53.602704737222965
114.42,-72.0183756375757,-53.60271277424469
