Parameter,Value
gna,1398.9608462817514
gkht,541.1719091413509
gklt,49.614184823879846
cam,185.47681101526476
kam,0.028855960358762426
cbm,66.7815179769575
kbm,-0.01619139968719155
cah,0.005215010156268332
kah,-0.07023963447483217
cbh,3.436888441294306
kbh,0.041212487513397275
can,0.24672000524817075
kan,0.01179219088255802
cbn,0.17652935766898137
kbn,0.3203777863770258
cap,0.00544443476930471
kap,0.08514787935844109
cbp,0.08890865451396689
kbp,0.006814704376738898
na_scale,3.443527090900575
kht_scale,2.150326197655911
klt_scale,2.5567208753481894
ih_scale,0.6018346861296618
stim_amp,0.5477216962437119
