Parameter,Value
gna,646.577168666276
gkht,1601.2930815294615
gklt,11.636585625305823
cam,186.84613523018203
kam,0.018476708851510426
cbm,192.80475069229078
kbm,-0.01670536673419642
cah,0.003761413480997106
kah,-0.07985362234186663
cbh,0.45345304287502985
kbh,0.04639303954942669
can,0.1213131663612279
kan,0.03228993859778351
cbn,0.14673782897382714
kbn,0.4182015536528057
cap,0.006301140343480573
kap,0.0935908089187457
cbp,0.08980889208076713
kbp,0.006470266754028237
na_scale,4.267275444038815
kht_scale,4.290672024380895
klt_scale,2.101720930689579
ih_soma,4.636509423539501
ih_dend,0.5187003471330106
stim_amp,0.43511309304601486
