Parameter,Value
gna,880.1670641057997
gkht,1729.9247326999537
gklt,86.25943989301683
gh,30.20855705005964
cam,93.68229311167019
kam,0.17480976648151153
cbm,140.5973793337567
kbm,-0.02365540342622481
cah,0.008873778396122458
kah,-0.1364654022604547
cbh,0.5960534266622949
kbh,0.02834199984116909
can,0.10782755971938213
kan,0.012195802564970456
cbn,0.2611888236363059
kbn,0.4749887047478835
cap,0.00748551791440734
kap,-0.16364101435336662
cbp,0.0884555809767711
kbp,0.006345710804898264
na_scale,2.5121585153535495
kht_scale,3.283126102396093
klt_scale,1.8948562909950768
ih_soma,1.3269730494095748
ih_dend,0.2674569193387546
