Sweep,MSE (mV^2)
0,183.33833425404876
1,135.5517123395695
2,92.95277460240573
3,58.5184318914942
4,32.362364253620825
5,16.454822345158473
6,12.578433100420176
7,19.364190035574406
8,32.14352244945596
9,47.674391518050165
10,62.10314675369511
11,78.90659864939039
12,94.31307862593621
13,109.66856676371032
14,125.1345446843559
15,138.78663818178293
16,155.20291491863375
17,169.78640668675737
18,183.10887563353975
19,200.87555267071468
20,218.72026507029202
21,239.81250856813233
22,254.32190403640914
23,271.23966012342845
24,288.3879821863786
