Parameter,Value
gna,974.6941662425384
gkht,300.0000709482345
gklt,20.024651256662207
gh,48.622883766540845
cam,150.0458953370967
kam,0.012141401996772834
cbm,199.6815454415475
kbm,-0.021370123008408383
cah,0.007729171508533693
kah,-0.11154905104574825
cbh,0.9377563390458546
kbh,0.09906649563946415
can,0.2322312309687239
kan,0.03996271477093607
cbn,0.20089055627563993
kbn,0.011652781881012361
cap,0.006082751460133979
kap,0.09994284589009697
cbp,0.07458404908567452
kbp,0.004685250671979276
na_scale,3.9495609707687134
kht_scale,2.4743987901779323
klt_scale,1.0005236232151498
ih_soma,4.7311627533755
ih_dend,0.9969516126045923
