Sweep,MSE (mV^2)
0,337.1401884157745
1,281.8795262010587
2,228.42918695824144
3,181.21925798748632
4,138.50171660048863
5,102.88023528845582
6,76.38466750520519
7,62.25537304853691
8,56.77121895330465
9,57.93637394986855
10,57.69413972755121
11,61.20469228237201
12,63.44016584943949
13,67.3203238107506
14,68.86149018023545
15,72.77597641070429
16,77.29384715722676
17,80.27705716393275
18,83.28945568965445
19,89.00604369218496
20,91.6076128072603
21,97.5942499714
22,99.5092719899679
23,100.93455333688144
24,106.05204013361988
